鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市民生路31號旁,14.91,商,Unnamed: 5,Unnamed: 6,1120515,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,139.47,3,1,2,有,無,12850000,100475,坡道平面,28.0,1650000,Unnamed: 26,RPQNMLTKNHIGFAU17CB,三銳海景,A棟2號,Unnamed: 30,來源資料夾,吉安鄉,花蓮縣吉安鄉東海七街,26.56,住,1120811,十層,144.94,2.1,11030000,80123,24.75,1400000,RPSNMLLKQHIGFAU86CB,日出好學,B棟10號,房地(土地+建物),20.91,1121111,土地1建物1車位0,四層,94.64,2.2,7120000,75232,Unnamed: 23,0.0,0,RPPNMLNKJIIGFAU78CB,E棟4號
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,10.68,商,,,1120219.0,土地1建物1車位1,十層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.79,2.0,2.0,2.0,有,無,11510000.0,102158.0,坡道平面,24.72,1900000.0,,RPPNMLTKKHIGFAU76CB,超綻,D棟1-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,8.3,商,,,1120215.0,土地1建物1車位1,七層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.17,2.0,2.0,1.0,有,無,8600000.0,92580.0,坡道平面,24.72,1800000.0,,RPSNMLTKKHIGFAU07CB,超綻,D棟7-07F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路與國民九街交叉路口,8.9,商,,,1120219.0,土地1建物1車位0,四層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.37,2.0,2.0,1.0,有,無,6940000.0,89699.0,,0.0,0.0,,RPQNMLKLKHIGFAU68CB,超綻,A棟5-04F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,41.4,住,,,1120218.0,土地1建物1車位1,九層,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,165.68,3.0,2.0,2.0,有,無,12205000.0,78072.0,坡道平面,24.72,1200000.0,,RPPNMLPLKHIGFAU09CB,天悅,B棟B1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中華路506號旁,20.47,住,,,1120217.0,土地1建物1車位0,三層,9.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,82.72,2.0,2.0,1.0,有,無,6760000.0,81721.0,,0.0,0.0,,RPPNMLMJLHIGFAU68CB,家福春天,B棟A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶北一街,87.6,住,,,1120211.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,187.79,4.0,2.0,5.0,有,無,13500000.0,71889.0,,0.0,0.0,本買賣土地標的含慶豐段 2054-5 地號土地，面積計 4平方公尺，使用分區為都市計畫內道路用地，一併移轉買方。,RPPNMLRJLHIGFAU56CB,慶豐家康,A2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中原路一段,25.0,住,,,1120225.0,土地2建物1車位0,六層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.6,2.0,2.0,2.0,有,無,7130000.0,73810.0,,0.0,0.0,,RPPNMLSJLHIGFAU66CB,馥鈺,B棟6樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,19.5,住,,,1120221.0,土地1建物1車位0,二層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.82,1.0,2.0,1.0,有,無,5500000.0,77662.0,,0.0,0.0,,RPQNMLSJLHIGFAU76CB,欣悅敦峰,B棟06號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市建德街,57.5,住,,,1120214.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,182.37,3.0,2.0,2.0,有,無,15100000.0,86115.0,一樓平面,23.28,1400000.0,,RPPNMLKKLHIGFAU58CB,宜和四季,1棟D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉廣豐一街,118.81,,特定農業區,甲種建築用地,1120223.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,208.97,5.0,2.0,5.0,有,無,14000000.0,66995.0,,0.0,0.0,,RPPNMLMKLHIGFAU78CB,恆大稻園,1棟F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中華路506號旁,19.98,住,,,1120224.0,土地1建物1車位0,二層,9.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,80.89,2.0,2.0,2.0,有,無,6710000.0,82952.0,,0.0,0.0,,RPQNMLMKLHIGFAU88CB,家福春天,B棟C號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福興路,74.0,住,,,1120307.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,160.71,4.0,2.0,4.0,有,無,12000000.0,74669.0,,0.0,0.0,,RPPNMLOKLHIGFAU56EB,厚德,A6棟A6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新城鄉,房地(土地+建物),花蓮縣新城鄉復興路,74.07,其他,,,1120312.0,土地5建物1車位0,三層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.29,2.0,2.0,2.0,有,無,7850000.0,76000.0,,0.0,0.0,,RPPNMLQKLHIGFAU56CB,藝川天闊AB區,A棟02號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市華廈街,40.28,住,,,1120224.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,140.57,3.0,2.0,2.0,有,無,10950000.0,76751.0,一樓平面,20.05,1700000.0,,RPQNMLQKLHIGFAU66CB,華廈之星,2A棟2A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,29.44,住,,,1120225.0,土地1建物1車位1,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.13,2.0,2.0,2.0,有,無,9200000.0,84016.0,升降機械,17.53,1000000.0,,RPPNMLRKLHIGFAU66CB,羅馬傳家寶,1棟2A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,44.69,住,,,1120305.0,土地1建物1車位2,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,206.38,2.0,2.0,2.0,有,無,18500000.0,104687.0,一樓平面,58.32,3000000.0,,RPQNMLRKLHIGFAU76CB,羅馬傳家寶,1棟7A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海五街與東海六街,25.79,住,,,1120305.0,土地4建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.85,2.0,2.0,2.0,有,無,6450000.0,65617.0,一樓平面,24.84,1200000.0,,RPQNMLKLLHIGFAU78CB,羅馬一品,6樓棟E號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,18.22,商,,,1120309.0,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.29,3.0,2.0,2.0,有,無,13920000.0,94558.0,坡道平面,25.0,1600000.0,,RPSNMLKLLHIGFAU98CB,三上御景,G棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路315巷2弄,13.35,商,,,1120309.0,土地1建物1車位0,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.55,2.0,2.0,2.0,有,無,9580000.0,100262.0,,0.0,0.0,,RPTNMLKLLHIGFAU09CB,三上御景,F棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉平段1514地號,23.85,住,,,1120306.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,69.01,2.0,2.0,2.0,有,無,4800000.0,69555.0,,0.0,0.0,,RPUNMLKLLHIGFAU56CB,臻新城裔,4F棟D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海七街,20.91,住,,,1120320.0,土地1建物1車位0,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.64,2.0,2.0,2.0,有,無,7120000.0,75232.0,,0.0,0.0,,RPPNMLNLLHIGFAU98CB,日出好學,E棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中華路506號旁,20.1,住,,,1120301.0,土地1建物1車位1,一層,9.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,107.87,2.0,2.0,2.0,有,無,9610000.0,95911.0,坡道平面,26.44,1800000.0,,RPQNMLNLLHIGFAU09CB,家福春天,B棟D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中華路506號旁,20.47,住,,,1120312.0,土地1建物1車位0,二層,9.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,82.72,2.0,2.0,1.0,有,無,6680000.0,80754.0,,0.0,0.0,,RPPNMLOLLHIGFAU09CB,家福春天,B棟A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉自立路二段75巷70號,119.4,住,,,1120224.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,245.53,3.0,3.0,4.0,有,無,22000000.0,89602.0,,0.0,0.0,,RPPNMLPLLHIGFAU56CB,金都立園,A9棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,13.05,商,,,1120306.0,土地1建物1車位1,三層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.83,3.0,2.0,2.0,有,無,12230000.0,92279.0,坡道平面,24.72,1700000.0,,RPQNMLPLLHIGFAU66CB,超綻,B棟7-03F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,14.24,商,,,1120313.0,土地1建物1車位1,四層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.01,3.0,2.0,2.0,有,無,13440000.0,93703.0,坡道平面,24.72,1700000.0,,RPRNMLPLLHIGFAU76CB,超綻,D棟3-04F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,14.24,商,,,1120309.0,土地1建物1車位1,五層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.01,3.0,2.0,2.0,有,無,13130000.0,90430.0,坡道平面,24.72,1800000.0,,RPSNMLPLLHIGFAU86CB,超綻,D棟3-05F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福興二街,26.9,住,,,1120312.0,土地2建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.81,2.0,2.0,2.0,有,無,5300000.0,69001.0,,0.0,0.0,,RPPNMLRLLHIGFAU76CB,福華苑,3D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉新生路,94.3,住,,,1120317.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,172.98,5.0,2.0,5.0,有,無,10000000.0,57810.0,,0.0,0.0,,RPQNMLRLLHIGFCU07CB,晶匯首邸,A棟14號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
