鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中正區,房地(土地+建物),基隆市中正區信五路,21.15,商,Unnamed: 5,Unnamed: 6,1120513,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,Unnamed: 14,133.75,3,2,2.1,有,無,16990000,127028,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLPKNHIGFDC87DB,橙品32,C棟0號,Unnamed: 30,來源資料夾,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,1120813,土地1建物1車位1,八層,22,住家用,116.04,1,1.1,10180000,97592,坡道平面,29.66,1750000,RPPNMLSLQHIGFDC48CB,夢悅城,F棟08號,基隆市中正區新豐街,26.07,住,1121111,七層,9,華廈(10層含以下有電梯),136.91,9900000,89473,41.35,1350000,RPTNMLNLJIIGFDC77CB,海豔,F1棟7號
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,54.72,住,,,1120211.0,土地1建物1車位1,一層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,198.23,3.0,2.0,3.0,有,無,13380000.0,72661.0,坡道平面,34.73,1500000.0,,RPPNMLPKKHIGFDC47CB,田園調布2-B2區,D棟D2-1+2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街239巷,10.77,,鄉村區,乙種建築用地,1120217.0,土地1建物1車位1,三層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.46,1.0,1.0,1.0,有,無,4560000.0,75640.0,坡道平面,38.08,1430000.0,,RPQNMLSKKHIGFDC97DB,公園樂,C2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,20.71,商,,,1120211.0,土地1建物1車位2,十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.75,4.0,1.0,2.0,有,無,16710000.0,97523.0,坡道平面,59.32,3600000.0,,RPTNMLMLKHIGFDC67CB,夢悅城,F棟03號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,40.36,住,,,1120225.0,土地1建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,191.54,3.0,2.0,2.0,有,無,15200000.0,89970.0,坡道平面,41.49,1700000.0,,RPPNMLQLKHIGFDC67CB,宏貿臻璽,C棟1-3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七堵區,房地(土地+建物),基隆市七堵區長安街239巷,10.99,,鄉村區,乙種建築用地,1120224.0,土地1建物1車位0,六層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,42.37,1.0,1.0,1.0,有,無,3380000.0,79773.0,,0.0,0.0,,RPPNMLOJLHIGFDC47DB,公園樂,C1棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七堵區,房地(土地+建物),基隆市七堵區長安街239巷,14.6,,鄉村區,乙種建築用地,1120225.0,土地1建物1車位0,六層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,58.12,2.0,1.0,1.0,有,無,4500000.0,77426.0,,0.0,0.0,,RPQNMLOJLHIGFDC57DB,公園樂,C3棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七堵區,房地(土地+建物),基隆市七堵區長安街239巷,10.77,,鄉村區,乙種建築用地,1120304.0,土地1建物1車位0,六層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,41.38,1.0,1.0,1.0,有,無,3270000.0,79024.0,,0.0,0.0,,RPRNMLOJLHIGFDC67DB,公園樂,C2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區和豐街,42.11,住,,,1120215.0,土地2建物1車位1,三層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,213.82,4.0,2.0,2.0,有,無,15300000.0,76724.0,坡道平面,32.0,1350000.0,原買售人於111年7月17日辦理解約退戶,RPPNMLQJLHIGFDC57CB,台北雪梨灣,H棟1-3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,60.3,住,,,1120306.0,土地1建物1車位2,一層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,232.96,3.0,2.0,3.0,有,無,14000000.0,70336.0,升降平面,69.46,2500000.0,,RPPNMLSJLHIGFDC77CB,田園調布2-B2區,A棟A9-1+2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,54.72,住,,,1120303.0,土地1建物1車位1,一層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,198.23,3.0,2.0,3.0,有,無,13880000.0,75719.0,坡道平面,34.73,1500000.0,,RPQNMLSJLHIGFDC87CB,田園調布2-B2區,B棟B1-1+2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
