鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
新竹市,土地,東山段一小段189地號,34.5,,,,1120301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,486450,14100.0,,0.0,0,協議價購；,RPSNMLLJLHIGFAO28DA,0.0,0.0,0.0,無,,112_01
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱路９號六樓之７,13.93,商,,,1120301,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111208.0,95.17,2,2,1,有,有,5630000,59157.0,坡道機械,20.86,0,,RPTPMLQJLHIGFAO09DA,45.92,0.0,3.49,有,1.0,112_01
新竹市,房地(土地+建物),新竹市新竹市南大路６１７巷１弄５號,63.26,住,,,1120301,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,67.5,3,2,2,有,無,8190000,121333.0,,0.0,0,頂樓加蓋；其他增建；急買急賣；,RPPNMLLJLHIGFAO97DA,67.5,0.0,0.0,無,,112_01
新竹市,土地,朝山段355-1地號,233.3,,,,1120202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,1715.0,,0.0,0,包含公共設施保留地用地；,RPOOMLPKKHIGFAO48EA,0.0,0.0,0.0,無,,112_01
新竹市,車位,新竹市新竹市北新街１３１號地下二層,0.65,住,,,1120201,土地2建物1車位1,地下二層,十層,其他,辦公室,鋼筋混凝土造,980319.0,5.04,0,0,0,有,無,550000,,升降機械,0.0,550000,僅車位交易；,RPVPMLNJKHIGFAO88DA,0.0,0.0,0.0,無,2.0,112_01
新竹市,土地,東濱段270地號,10.35,住,,,1120202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,313200,30261.0,,0.0,0,,RPTRMLNJKHIGFAO88DA,0.0,0.0,0.0,無,3.0,112_01
新竹市,土地,中興段536-6地號,1.54,都市：其他:道路用地,,,1120204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57589,37395.0,,0.0,0,包含公共設施保留地用地；,RPTUMLQJKHIGFAO86DA,0.0,0.0,0.0,無,,112_01
新竹市,土地,南門段三小段59-1地號,5.14,都市：其他:道路用地,,,1120207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,220000,42802.0,,0.0,0,包含公共設施保留地用地；,RPVNMLKLKHIGFAO68EA,0.0,0.0,0.0,無,4.0,112_01
新竹市,土地,東濱段248地號,51.82,住,,,1120201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2508000,48398.0,,0.0,0,,RPORMLNJKHIGFAO38DA,0.0,0.0,0.0,無,5.0,112_01
新竹市,土地,東濱段248地號,25.91,住,,,1120202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1254080,48401.0,,0.0,0,,RPPRMLNJKHIGFAO48DA,0.0,0.0,0.0,無,5.0,112_01
新竹市,土地,東濱段270地號,20.7,住,,,1120201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,626300,30256.0,,0.0,0,,RPQRMLNJKHIGFAO58DA,0.0,0.0,0.0,無,3.0,112_01
新竹市,土地,東濱段270地號,10.35,住,,,1120202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,313200,30261.0,,0.0,0,,RPRRMLNJKHIGFAO68DA,0.0,0.0,0.0,無,3.0,112_01
新竹市,土地,東濱段247地號,7.73,住,,,1120202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,374240,48414.0,,0.0,0,,RPSRMLNJKHIGFAO78DA,0.0,0.0,0.0,無,5.0,112_01
新竹市,房地(土地+建物),新竹市新竹市光復路二段１３２號、１３２號二至五樓,227.0,商,,,1120206,土地1建物7車位0,二層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,950110.0,1052.01,18,13,13,有,無,50000000,47528.0,,0.0,0,其他增建；,RPQQMLQJKHIGFAO78DA,580.09,0.0,55.24,有,,112_01
新竹市,房地(土地+建物),新竹市新竹市埔頂路１４５號５樓之２,9.03,住,,,1120203,土地4建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841208.0,52.9,2,1,1,有,有,4880000,92250.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；含租約；包含公共設施保留地用地；,RPSNMLKLKHIGFAO38EA,36.92,0.46,3.28,有,,112_01
新竹市,房地(土地+建物),新竹市新竹市境福街１４１巷５０弄１４號２樓,68.0,,鄉村區,乙種建築用地,1120207,土地1建物2車位0,二層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,,67.44,4,2,3,有,無,6100000,90451.0,,0.0,0,頂樓加蓋；,RPWNMLQKKHIGFAO66EA,67.44,0.0,0.0,無,,112_01
新竹市,車位,新竹市新竹市北新街１３１號地下二層,0.65,住,,,1120211,土地2建物1車位1,地下二層,十層,其他,辦公室,鋼筋混凝土造,980319.0,5.04,0,0,0,無,無,600000,,升降機械,0.0,600000,僅車位交易；,RPXNMLQKKHIGFAO76EA,0.0,0.0,0.0,無,2.0,112_01
新竹市,房地(土地+建物)+車位,新竹市新竹市浸樹街１１８號,88.59,,鄉村區,乙種建築用地,1120202,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1030109.0,238.23,5,3,4,有,無,17200000,72199.0,一樓平面,0.0,0,,RPQNMLRKKHIGFAO78EA,211.73,0.0,26.5,無,11.0,112_01
新竹市,房地(土地+建物),新竹市新竹市南門街４７號七樓之１１,6.76,商,,,1120210,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020130.0,45.39,1,0,1,有,有,4800000,105750.0,,0.0,0,陽台外推；含租約；,RPUNMLRKKHIGFAO56EA,21.84,4.01,2.44,有,12.0,112_01
新竹市,土地,復興段86地號,124.93,都市：其他:道路用地,,,1120203,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15000000,120067.0,,0.0,0,,RPVNMLRKKHIGFAO66EA,0.0,0.0,0.0,無,13.0,112_01
新竹市,房地(土地+建物),新竹市新竹市東大路四段３１號三樓之３,8.83,住,,,1120212,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,990920.0,32.33,1,1,1,有,有,2500000,77328.0,,0.0,0,,RPWNMLRKKHIGFAO66DA,22.13,1.08,0.0,有,,112_01
新竹市,土地,民富段488地號,98.89,都市：其他:道路用地,,,1120203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3429600,34681.0,,0.0,0,包含公共設施保留地用地；,RPQNMLQKKHIGFAO58DA,0.0,0.0,0.0,無,,112_01
新竹市,房地(土地+建物),新竹市新竹市高峰路１９０巷２４號三樓,18.84,都市：其他:保護區,,,1120205,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840315.0,103.1,3,2,2,有,有,3000000,29098.0,,0.0,0,,RPPNMLSKKHIGFAO78EA,72.77,0.0,14.03,無,,112_01
新竹市,土地,中央段710-1地號,56.62,都市：其他:道路用地,,,1120208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,74179.0,,0.0,0,包含公共設施保留地用地；,RPWPMLMJKHIGFAO88DA,0.0,0.0,0.0,無,14.0,112_01
新竹市,房地(土地+建物),新竹市新竹市東南街２３９巷１之３號,6.81,住,,,1120203,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,35.349999999999994,1,1,1,有,無,2850000,80622.0,,0.0,0,,RPWNMLKLKHIGFAO68DA,20.9,3.0,0.0,有,15.0,112_01
