鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,新竹市,房地(土地+建物)+車位,新竹市新竹市南大路,25.78,商,Unnamed: 5,Unnamed: 6,1120513,土地2建物1車位2,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,218.0,3,2,2.1,有,無,25450000,158048,升降平面,77.22,3200000,Unnamed: 26,RPQNMLPKNHIGFAO78CB,福砌3,B棟6號,Unnamed: 30,來源資料夾,新竹市新竹市北區西門街,28.99,住,1120812,土地1建物1車位1,二層,14,159.46,26200000,189142,坡道平面,33.1,2300000,RPPNMLMKQHIGFAO78DB,鴻碩,B-2號,新竹市新竹市北區鐵道路二段,32.61,1121112,22,182.16,27050000,166264,33.0,2250000,RPPNMLMKJIIGFAO18DB,鴻萃,A棟2號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區金雅八街與金雅東街口,18.36,,鄉村區,乙種建築用地,1120216.0,土地1建物1車位1,一層,10.0,店面(店鋪),商業用,鋼筋混凝土造,,102.27,0.0,0.0,0.0,無,無,12460000.0,144760.0,坡道平面,29.46,1920000.0,,RPPNMLTKKHIGFAO78CB,昕觀邸,S3棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市高峰路110巷旁,43.49,住,,,1120220.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,197.22,3.0,2.0,2.0,有,無,21540000.0,141599.0,坡道平面,71.23,3700000.0,,RPPNMLKLKHIGFAO97CB,昌禾/學府首席Ⅱ,E棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物),新竹市新竹市中華路六段647巷136弄K區,179.23,,山坡地保育區,丙種建築用地,1120212.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,196.08,3.0,2.0,3.0,有,無,19770000.0,100826.0,,0.0,0.0,原起造人新富開發股份有限公司負責人:尤麗敏因辦理預售屋不動產開發信託，變更起造人為寶國建築經理股份有限公司負責人:陳正林。,RPPNMLMLKHIGFAO18CB,竹科莊園,KB20棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區北大路262號旁,16.47,商,,,1120213.0,土地8建物1車位1,十四層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.26,3.0,2.0,3.0,有,無,32820000.0,182175.0,坡道平面,43.18,2200000.0,,RPPNMLNLKHIGFAO28CB,春福大雋,A2-14F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區北大路262號旁,13.57,商,,,1120212.0,土地8建物1車位1,七層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.21,3.0,2.0,2.0,有,無,26980000.0,177156.0,坡道平面,43.18,2350000.0,,RPQNMLNLKHIGFAO38CB,春福大雋,A1-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區北大路262號旁,16.47,商,,,1120217.0,土地8建物1車位1,十四層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.26,3.0,2.0,3.0,有,無,33090000.0,183782.0,坡道平面,43.18,2200000.0,,RPRNMLNLKHIGFAO48CB,春福大雋,A5-14F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段,14.31,商,,,1120225.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.02,3.0,2.0,2.0,有,無,22300000.0,147922.0,坡道平面,28.8,2150000.0,,RPPNMLQLKHIGFAO58CB,聚吉第,B5棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段,10.93,商,,,1120225.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.86,2.0,2.0,2.0,有,無,17050000.0,146070.0,坡道平面,28.8,1850000.0,,RPQNMLQLKHIGFAO68CB,聚吉第,B3棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市華德福街168號對面,36.18,,山坡地保育區,丙種建築用地,1120217.0,土地1建物1車位2,一層,7.0,店面(店鋪),商業用,鋼筋混凝土造,,192.16,0.0,0.0,1.0,有,無,28820000.0,164446.0,坡道平面,36.06,3150000.0,跨所案件，另有基地為竹縣竹東地政事務所，持分面積:竹縣寶山鄉寶香段409-16地號17.74㎡及432-12地號1.04㎡。另不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之22.15。,RPQNMLNJLHIGFAO28CB,宏道新竹帝寶9區1號,N棟1F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市華德福街168號對面,36.52,,山坡地保育區,丙種建築用地,1120226.0,土地1建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,175.67,3.0,2.0,2.0,有,無,21470000.0,126364.0,坡道平面,18.03,1550000.0,跨所案件，另有基地為竹縣竹東地政事務所，持分面積:竹縣寶山鄉寶香段409-16地號17.91㎡及432-12地號1.05㎡。另不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之22.36。,RPRNMLNJLHIGFAO38CB,宏道新竹帝寶9區1號,M1棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
