鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路798巷,29.74,住,Unnamed: 5,Unnamed: 6,1120513,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,177.45,3,1,2,有,無,12200000,76985,坡道平面,53.4,2650000,Unnamed: 26,RPPNMLQKNHIGFAI18CB,未來樹,L5棟5F號,Unnamed: 30,來源資料夾,嘉義市嘉義市日新街與立學街口,31.16,商,1120813,土地1建物1車位1,六層,13,204.63,2.1,19380000,104299,33.2,1500000,RPPNMLOKQHIGFAI28CB,仰?日新,1棟6B1號
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市金山路與永福三街口,24.29,住,,,1111111.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.45,2.0,1.0,1.0,有,無,7240000.0,80797.0,一樓平面,15.17,1400000.0,此3F2合約原為機械車位，與原3F3之平面車位，對調,RPSNMLQKJIHGFAI08CB,金山森藏,1棟3F2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市金山路與永福三街口,24.22,住,,,1111111.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.1,2.0,1.0,1.0,有,無,6470000.0,79356.0,其他,10.02,750000.0,此3F3合約原為平面車位，與原3F2之機械車位，對調,RPTNMLQKJIHGFAI18CB,金山森藏,1棟3F3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市大統路,151.66,住,,,1111116.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,335.92,4.0,3.0,5.0,有,無,30880000.0,91927.0,,0.0,0.0,,RPRNMLRKJIHGFAI08CB,金石成大砌,E棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路17巷,32.8,住,,,1111114.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.57,2.0,2.0,1.0,有,無,7780000.0,95378.0,,0.0,0.0,,RPSNMLRKJIHGFAI18CB,好人居Ⅲ,A棟2F2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市芳安路17巷,51.3,住,,,1111119.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,150.59,3.0,2.0,2.0,有,無,12700000.0,89454.0,一樓平面,23.15,1300000.0,,RPQNMLLLJIHGFAI47CB,好人居Ⅲ,A棟2F9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市新生路,144.17,住,,,1111116.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,319.35,3.0,2.0,2.0,有,無,37520000.0,117489.0,,0.0,0.0,,RPSNMLNLJIHGFAI87CB,雅典娜+,店棟2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市新生路,3.83,住,,,1111116.0,土地1建物1車位0,全,1.0,店面(店鋪),商業用,鋼筋混凝土造,,11.52,0.0,0.0,0.0,無,無,4160000.0,361111.0,,0.0,0.0,,RPTNMLNLJIHGFAI97CB,雅典娜+,店棟2A號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路17巷,45.5,住,,,1111126.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.91,3.0,2.0,2.0,有,無,12100000.0,107165.0,,0.0,0.0,,RPQNMLTLJIHGFAI28CB,好人居Ⅲ,A棟5F9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市彌陀路238巷98弄,23.14,住,,,1111111.0,土地1建物1車位1,四層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.8,2.0,2.0,1.0,有,無,6250000.0,81385.0,坡道機械,13.22,750000.0,,RPPNMLKMJIHGFAI37CB,拉斐特三期,4樓D號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市健康三路,120.72,其他,,,1111116.0,土地2建物1車位0,全,2.0,透天厝,見其他登記事項,鋼筋混凝土造,,141.94,0.0,5.0,3.0,有,無,13080000.0,92152.0,,0.0,0.0,,RPPNMLMJKIHGFAI47DB,成家,B棟10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
