鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,馬公市,房地(土地+建物),澎湖縣馬公市成功街,20.67,住,Unnamed: 5,Unnamed: 6,1120515,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,Unnamed: 14,69.91,2,2.1,2.2,有,無,7200000,102990,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLLMNHIGFAX76CB,昌錦豐碩,A2-1棟0號,Unnamed: 30,來源資料夾,澎湖縣馬公市中衛段900地號,27.44,農,1120818,4,住家用,68.47,1,4800000,70104,RPPNMLMKRHIGFAX17DB,九如天下,1棟A號,澎湖縣馬公市馬公段293，297地號等2筆,14.01,商,1121112,土地2建物1車位0,六層,9,見其他登記事項,88.79,7580000,85370,RPQNMLKMJIIGFAX56DB,新澄大樓,6樓棟C號
馬公市,房地(土地+建物),澎湖縣馬公市中衛段900地號,35.57,農,,,1120216.0,土地1建物1車位0,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.61,3.0,1.0,3.0,有,無,6920000.0,78986.0,,0.0,0.0,,RPQNMLOJLHIGFAX76DB,九如天下,1棟A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬公市,房地(土地+建物),澎湖縣馬公市中衛段900地號,25.65,農,,,1120304.0,土地1建物1車位0,三層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,62.99,2.0,1.0,1.0,有,無,4500000.0,71440.0,,0.0,0.0,,RPPNMLRJLHIGFAX96DB,九如天下,1棟B號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬公市,房地(土地+建物),澎湖縣馬公市成功街,20.48,住,,,1120307.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,69.04,2.0,2.0,2.0,有,無,7100000.0,102839.0,,0.0,0.0,,RPPNMLOLLHIGFAX76CB,昌錦豐碩,A2-2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬公市,房地(土地+建物),澎湖縣馬公市安宅,21.26,,鄉村區,乙種建築用地,1120331.0,土地1建物1車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,78.43,2.0,2.0,1.0,有,無,4700000.0,59926.0,,0.0,0.0,,RPPNMLLKMHIGFAX09CB,勝笠宴,A3棟4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬公市,房地(土地+建物),澎湖縣馬公市安宅,21.26,,鄉村區,乙種建築用地,1120406.0,土地1建物1車位0,三層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,78.43,2.0,2.0,1.0,有,無,4400000.0,56101.0,,0.0,0.0,,RPQNMLLKMHIGFAX56CB,勝笠宴,A3棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,19.33,,鄉村區,乙種建築用地,1120407.0,土地3建物1車位1,一層,6.0,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,77.25,0.0,0.0,0.0,無,無,8420000.0,134220.0,坡道平面,20.85,850000.0,,RPPNMLOJNHIGFAX86DB,泰然御勝,A棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,19.33,,鄉村區,乙種建築用地,1120407.0,土地3建物1車位2,一層,6.0,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,38.36,0.0,0.0,0.0,無,無,8420000.0,0.0,坡道平面,87.19,4660000.0,,RPQNMLOJNHIGFAX96DB,泰然御勝,B棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),澎湖縣馬公市光榮街,39.16,住,,,1120523.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.06,3.0,1.0,2.0,有,無,11000000.0,88667.0,,0.0,0.0,,RPQNMLTKOHIGFAX67DB,家益光榮大樓,A棟4號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),澎湖縣馬公市光榮街,25.51,住,,,1120627.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.86,2.0,1.0,2.0,有,無,7000000.0,86569.0,,0.0,0.0,,RPRNMLNKPHIGFAX27DB,家益光榮大樓,B棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),澎湖縣馬公市成功街,20.67,住,,,1120703.0,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,69.91,2.0,2.0,2.0,有,無,7300000.0,104420.0,,0.0,0.0,,RPPNMLKLPHIGFAX76CB,昌錦豐碩,A3-1棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,
