鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
金城鎮,土地,北一段5地號,1300.31,農,,,1120302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15000000,11536.0,,0.0,0,,RPRNMLNJLHIGFAW66EA,0.0,0.0,0.0,無,,112_01
金城鎮,土地,北一段34地號,1000.64,農,,,1120302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12000000,11992.0,,0.0,0,,RPSNMLNJLHIGFAW76EA,0.0,0.0,0.0,無,1.0,112_01
金城鎮,房地(土地+建物),金門縣金城鎮珠浦南路５０巷１１號二樓,26.73,住,,,1120302,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110728.0,70.81,2,2,1,無,無,6050000,85440.0,,0.0,0,,RPSNMLRJLHIGFAW07DA,51.65,0.0,4.01,有,,112_01
金城鎮,房地(土地+建物),金門縣金城鎮大學路５３巷６弄１６號,15.31,農,,,1120303,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,981222.0,27.6,1,1,1,無,無,2200000,79710.0,,0.0,0,,RPSNMLNJLHIGFAW66DA,20.92,0.0,0.0,無,2.0,112_01
金沙鎮,土地,汶沙測段456地號,478.06,住,,,1120203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,19872.0,,0.0,0,包含公共設施保留地用地；,RPSNMLNJKHIGFAW56DA,0.0,0.0,0.0,無,,112_01
烈嶼鄉,土地,大山頂測段847地號,1678.11,都市：其他:自然村專用區,,,1120203,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3725000,2220.0,,0.0,0,,RPTNMLNJKHIGFAW66DA,0.0,0.0,0.0,無,,112_01
烈嶼鄉,土地,大山頂測段472地號,2579.75,農,,,1120203,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6079000,2356.0,,0.0,0,未登記建物；包含公共設施保留地用地；,RPQNMLOJKHIGFAW09DA,0.0,0.0,0.0,無,,112_01
烈嶼鄉,土地,東園劃段253地號,1589.92,農,,,1120203,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6347000,3992.0,,0.0,0,包含公共設施保留地用地；,RPRNMLOJKHIGFAW56DA,0.0,0.0,0.0,無,,112_01
金寧鄉,土地,寧劃段1402地號,491.54,農,,,1120201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,2441.0,,0.0,0,,RPSNMLTJKHIGFAW17DA,0.0,0.0,0.0,無,,112_01
金湖鎮,土地,北五劃段27地號,500.0,農,,,1120203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,3600.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJKHIGFAW86EA,0.0,0.0,0.0,無,3.0,112_01
