鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
北投區,房地(土地+建物)+車位,臺北市北投區文林北路75巷,15.43,住,,,1130215,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.29,2,2,2,有,無,31930000,332670.0,坡道平面,33.83,3500000,,RPPNMLPKKHJGFEA47CB,達麗天蒔,A5棟3F號,,113_02
中正區,房地(土地+建物)+車位,臺北市中正區博愛路110號等,4.69,商,,,1130216,土地6建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,77.49,2,1,1,有,無,26500000,355345.0,升降機械,9.95,2500000,,RPPNMLRKKHJGFBA37CB,博愛賦御,4F-A5號,,113_02
大同區,房地(土地+建物)+車位,臺北市大同區建功里鄭州路83巷10號,5.1,商,,,1130215,土地20建物1車位2,二十一層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,100.75,1,1,1,有,無,31700000,428412.0,坡道機械,37.96,4800000,,RPRNMLRKKHJGFBA57CB,國王雙子星,A08-21F號,,113_02
大同區,房地(土地+建物)+車位,臺北市大同區建功里鄭州路83巷10號,3.52,商,,,1130215,土地20建物1車位1,三層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,62.4,1,1,1,有,無,22260000,445877.0,坡道機械,18.98,2900000,,RPSNMLRKKHJGFBA67CB,國王雙子星,A09-03F號,,113_02
大同區,房地(土地+建物),臺北市大同區建功里鄭州路83巷10號,6.37,商,,,1130215,土地20建物1車位0,五層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,78.55,2,1,1,有,無,33380000,424952.0,,0.0,0,,RPTNMLRKKHJGFBA77CB,國王雙子星,A05-05F號,,113_02
中正區,房地(土地+建物)+車位,臺北市中正區和平西路二段135號,22.17,住,,,1130217,土地9建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,202.61,3,2,3,有,無,66680000,373215.0,坡道平面,33.86,3700000,,RPQNMLTKKHJGFAA57CB,恆悅植心苑,13F-E號,,113_02
大同區,房地(土地+建物),臺北市大同區鄰江里延平北路四段17號,8.55,住,,,1130218,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,67.78,2,1,1,有,無,17880000,263795.0,,0.0,0,,RPPNMLTKKHJGFBA67DB,永豐泰雲川,C號,,113_02
中正區,房地(土地+建物),臺北市中正區博愛路110號等,2.18,商,,,1130219,土地6建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,31.37,1,1,1,有,無,11080000,353204.0,,0.0,0,,RPRNMLKLKHJGFBA96CB,博愛賦御,6F-A7號,,113_02
中正區,房地(土地+建物),臺北市中正區博愛路110號等,4.69,商,,,1130217,土地6建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,67.54,2,1,1,有,無,24180000,358010.0,,0.0,0,,RPSNMLKLKHJGFBA07CB,博愛賦御,5F-A5號,,113_02
中山區,房地(土地+建物),臺北市中山區聚盛里錦州街30巷,6.33,商,,,1130215,土地7建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,80.04,2,2,1,有,無,29600000,369815.0,,0.0,0,,RPQNMLKLKHJGFCA96CB,中山．吉美,A棟A1-11F號,,113_02
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷,17.44,住,,,1130219,土地2建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.55,2,2,2,有,無,24170000,258834.0,坡道平面,35.76,3000000,,RPPNMLKLKHJGFEA07CB,長耀四季,B棟B1號,,113_02
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷,18.53,住,,,1130219,土地2建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.56,2,2,2,有,無,26370000,269240.0,坡道平面,35.76,3000000,,RPQNMLKLKHJGFEA17CB,長耀四季,B棟B5號,,113_02
北投區,房地(土地+建物)+車位,臺北市北投區文林北路75巷,26.0,住,,,1130216,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,177.94,4,2,2,有,無,55750000,361529.0,坡道平面,33.83,3650000,,RPRNMLKLKHJGFEA27CB,達麗天蒔,A2棟12F號,,113_02
北投區,房地(土地+建物)+車位,臺北市北投區文林北路75巷,23.27,住,,,1130216,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,162.83,3,2,2,有,無,49880000,358760.0,坡道平面,33.83,3600000,,RPSNMLKLKHJGFEA37CB,達麗天蒔,A6棟14F號,,113_02
大同區,房地(土地+建物),臺北市大同區建功里鄭州路83巷10號,6.37,商,,,1130219,土地20建物1車位0,二十三層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,78.56,2,1,1,有,無,33860000,431008.0,,0.0,0,,RPPNMLLLKHJGFBA86CB,國王雙子星,A09-23F號,,113_02
中正區,房地(土地+建物),臺北市中正區博愛路110號等,2.04,商,,,1130218,土地6建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,29.34,1,1,1,有,無,11260000,383776.0,,0.0,0,,RPPNMLMLKHJGFBA96CB,博愛賦御,9F-A2號,,113_02
中正區,房地(土地+建物),臺北市中正區博愛路110號等,2.18,商,,,1130221,土地6建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,31.37,1,1,1,有,無,11800000,376156.0,,0.0,0,,RPQNMLMLKHJGFBA07CB,博愛賦御,13F-A6號,,113_02
內湖區,房地(土地+建物),臺北市內湖區文德路22巷44弄130號,14.13,住,,,1130214,土地14建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.35,2,1,1,有,無,23080000,319005.0,,0.0,0,,RPPNMLMLKHJGFCA07CB,德孚昀品,C-9F號,,113_02
信義區,房地(土地+建物),臺北市信義區信義路四段,6.46,商,,,1130215,土地9建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.52,2,2,1,有,無,38880000,482861.0,,0.0,0,,RPPNMLMLKHJGFDA17CB,全坤X101,A4-10F號,,113_02
士林區,房地(土地+建物)+車位,臺北市士林區德華里文林路,14.16,住,,,1130221,土地18建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.19,2,2,1,有,無,29200000,355254.0,坡道平面,36.44,3000000,,RPQNMLMLKHJGFEA37CB,禾碩芝山綻,E-11F號,,113_02
北投區,房地(土地+建物)+車位,臺北市北投區建民里文承路,24.95,住,,,1130216,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.64,2,2,2,有,無,36950000,334417.0,坡道平面,25.12,3000000,,RPSNMLMLKHJGFEA57CB,新潤潤心,B-9F號,,113_02
北投區,房地(土地+建物)+車位,臺北市北投區建民里文承路,36.49,住,,,1130215,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.54,3,2,2,有,無,51660000,327180.0,坡道平面,25.12,3100000,,RPUNMLMLKHJGFEA77CB,新潤潤心,C-4F號,,113_02
北投區,房地(土地+建物)+車位,臺北市北投區建民里文承路,21.16,住,,,1130216,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.22,2,2,2,有,無,31230000,327875.0,坡道平面,25.12,3000000,,RPVNMLMLKHJGFEA87CB,新潤潤心,A-6F號,,113_02
中正區,房地(土地+建物)+車位,臺北市中正區南昌路二段,6.43,商,,,1130216,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.45,2,1,1,有,無,33800000,396925.0,其他,12.09,2300000,露臺戶,RPPNMLNLKHJGFAA96CB,世達懿居,F-13F號,,113_02
中正區,房地(土地+建物),臺北市中正區南昌路二段,3.13,商,,,1130213,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,39.28,1,0,1,有,無,15370000,391293.0,,0.0,0,,RPRNMLNLKHJGFAA17CB,世達懿居,L-10F號,,113_02
中正區,房地(土地+建物)+車位,臺北市中正區南昌路二段,6.53,商,,,1130221,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.7,2,1,1,有,無,32900000,379606.0,其他,12.09,2300000,,RPSNMLNLKHJGFAA27CB,世達懿居,E-9F號,,113_02
中正區,房地(土地+建物)+車位,臺北市中正區文盛里羅斯福路三段,9.79,商,,,1130216,土地18建物1車位1,二十五層,28,住宅大樓(11層含以上有電梯),住商用,鋼骨鋼筋混凝土造,,152.16,2,2,1,有,無,52760000,437892.0,坡道平面,40.58,3900000,,RPUNMLNLKHJGFAA47CB,璞真宇見,25F-A5號,,113_02
大同區,房地(土地+建物),臺北市大同區建功里鄭州路83巷10號,3.53,商,,,1130221,土地20建物1車位0,十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,43.59,1,1,1,有,無,18300000,419821.0,,0.0,0,,RPPNMLNLKHJGFBA07CB,國王雙子星,A02-15F號,,113_02
大同區,房地(土地+建物),臺北市大同區建功里鄭州路83巷10號,3.53,商,,,1130221,土地20建物1車位0,十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,43.59,1,1,1,有,無,18300000,419821.0,,0.0,0,,RPQNMLNLKHJGFBA17CB,國王雙子星,A03-15F號,,113_02
大同區,房地(土地+建物),臺北市大同區建功里鄭州路83巷10號,6.37,商,,,1130221,土地20建物1車位0,二十六層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,78.55,2,1,1,有,無,34700000,441757.0,,0.0,0,,RPRNMLNLKHJGFBA27CB,國王雙子星,A06-26F號,,113_02
