鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,15.58,住,,,1121111,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.24,2,2,2,有,無,11300000,116874.0,坡道平面,26.25,1250000,,RPTNMLNKJIIGFCD67CB,松丹達麗,D棟3號,,113_01
新營區,房地(土地+建物)+車位,臺南市新營區大德街,34.51,住,,,1121111,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.67,2,2,2,有,無,10300000,75966.0,坡道平面,35.88,1200000,,RPRNMLNKJIIGFDD57CB,藏春,A1棟7F號,,113_01
新市區,房地(土地+建物)+車位,臺南市新市區大營21號旁,33.14,,鄉村區,乙種建築用地,1121111,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,145.26,3,2,2,有,無,11820000,85157.0,一樓平面,26.42,1700000,,RPPOMLNKJIIGFHD87CB,煌聖．森友旭,B棟B3-03F號,,113_01
仁德區,房地(土地+建物)+車位,臺南市仁德區二仁路,34.57,住,,,1121112,土地1建物1車位1,十六層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.17,3,2,2,有,無,18060000,95791.0,坡道平面,26.04,1380000,,RPPNMLNKJIIGFID97DB,川邊澄,B1棟16號,,113_01
安南區,房地(土地+建物)+車位,臺南市安南區安佃八街,32.18,住,,,1121113,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.6,3,2,2,有,無,9000000,84994.0,其他,8.77,600000,,RPPNMLOKJIIGFBD27CB,登悅,B1-4F號,,113_01
新化區,房地(土地+建物)+車位,臺南市新化區民治路,39.33,住,,,1121111,土地5建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.27,3,2,2,有,無,13000000,93602.0,一樓平面,30.08,1750000,,RPRNMLOKJIIGFHD08CB,聽心苑2,1棟B號,,113_01
新化區,房地(土地+建物)+車位,臺南市新化區民治路,38.55,住,,,1121112,土地5建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.52,3,2,2,有,無,12800000,93252.0,坡道平面,32.56,1800000,,RPUNMLOKJIIGFHD38CB,聽心苑2,1棟A號,,113_01
關廟區,房地(土地+建物),臺南市關廟區北新街330號旁邊,30.65,住,,,1121111,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.07,3,2,2,有,無,6120000,61157.0,,0.0,0,,RPPNMLOKJIIGFID97CB,皇龍捷士悅,A1-2號,,113_01
關廟區,房地(土地+建物)+車位,臺南市關廟區北新街330號旁邊,30.65,住,,,1121111,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.93,3,2,2,有,無,6820000,62656.0,坡道機械,15.86,550000,,RPQNMLOKJIIGFID08CB,皇龍捷士悅,A1-03號,,113_01
永康區,房地(土地+建物)+車位,臺南市永康區永華路522號旁,20.41,商,,,1121111,土地1建物1車位1,二十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.95,3,2,2,有,無,21100000,124750.0,坡道平面,32.84,1750000,,RPPNMLOKJIIGFKD18CB,未來馥,A棟3號,,113_01
安南區,房地(土地+建物),臺南市安南區永續十街,93.84,住,,,1121111,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,181.0,4,2,4,有,無,20020000,110608.0,,0.0,0,內含停車位1個,RPSNMLPKJIIGFBD67CB,邰欣地堡88期,D棟7號,,113_01
官田區,房地(土地+建物),臺南市官田區南?里南?8-74號後面,79.35,住,,,1121113,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,135.1,4,2,3,有,無,9000000,66617.0,,0.0,0,,RPPNMLPKJIIGFFD87DB,怡華綻,B棟18號,,113_01
安南區,房地(土地+建物)+車位,臺南市安南區生態街,20.84,住,,,1121111,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.79,2,2,2,有,無,13600000,95979.0,坡道機械,18.99,950000,,RPRNMLQKJIIGFBD67CB,水晴川,B棟3號,,113_01
