鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
竹北市,房地(土地+建物)+車位,新竹縣竹北市國義段100地號,30.32,住,,,1130215,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.44,3,2,2,有,無,24450000,148902,坡道平面,34.67,2000000,,RPTNMLRKKHJGFBJ68CB,元子,A5棟0號,,113_02
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生八街130號對面,24.06,住,,,1130215,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.56,2,2,2,有,無,12210000,109698,坡道平面,27.84,1600000,,RPUNMLRKKHJGFDJ98CB,盛竑築硯,A5棟7號,,113_02
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生八街130號對面,24.64,住,,,1130215,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.48,2,2,2,有,無,11000000,95209,坡道平面,26.75,1600000,,RPVNMLRKKHJGFDJ09CB,盛竑築硯,B5棟1號,,113_02
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生八街130號對面,24.64,住,,,1130215,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.8,2,2,2,有,無,11800000,102806,坡道平面,29.07,1650000,,RPWNMLRKKHJGFDJ56CB,盛竑築硯,A5棟1號,,113_02
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生八街130號對面,24.06,住,,,1130215,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.96,2,2,2,有,無,12350000,110457,坡道平面,35.09,1650000,,RPOOMLRKKHJGFDJ48CB,盛竑築硯,B3棟8號,,113_02
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生八街130號對面,32.47,住,,,1130215,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.57,3,2,2,有,無,15550000,107146,坡道平面,27.84,1650000,,RPPOMLRKKHJGFDJ58CB,盛竑築硯,A1棟8號,,113_02
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉中崙村6鄰中崙,31.72,,特定農業區,甲種建築用地,1130212,土地2建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.06,3,2,2,有,無,12660000,100089,坡道平面,31.56,1400000,,RPTOMLRKKHJGFDJ98CB,遠傳丰景,A棟2-7F號,,113_02
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,26.25,住,,,1130218,土地1建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.31,3,2,2,有,無,15450000,116052,坡道平面,21.69,1800000,,RPRNMLKLKHJGFDJ08CB,富來.森之青,A2棟5F號,,113_02
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,26.15,住,,,1130218,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.93,3,2,2,有,無,15490000,117195,坡道平面,21.69,1750000,,RPSNMLKLKHJGFDJ18CB,富來.森之青,B5棟7F號,,113_02
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉文山路,31.41,住,,,1130218,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.95,3,2,2,有,無,18410000,128941,坡道平面,35.58,1600000,,RPSNMLLLKHJGFCJ18CB,篤篤源,B1棟4F號,,113_02
