鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中正路463巷,48.03,住,,,1121111,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,147.26,3,2,2,有,無,11280000,76599.0,一樓平面,12.41,0,,RPPNMLNKJIIGFFK28CB,星苑,E棟4F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,15.57,商,,,1121111,土地1建物1車位1,十五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.81,3,2,2,有,無,20260000,128671.0,坡道平面,21.4,1550000,整筆交易包含:竹南鎮藝文段18地號一筆，土地持分0.01平方公尺，共計移轉面積15.58平方公尺,RPSNMLNKJIIGFFK58CB,中央世紀,A棟10-15F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中正路,28.35,住,,,1121111,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.43,2,2,1,有,無,7600000,85944.0,一樓平面,13.75,0,,RPQNMLOKJIIGFFK48CB,陽光城市,E棟2號,,113_01
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市近新東街136巷,25.15,住,,,1121113,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.79,2,2,1,有,無,6300000,79959.0,一樓平面,13.75,0,,RPPNMLPKJIIGFBK08CB,栗圓136,B棟5號,,113_01
頭份市,房地(土地+建物),苗栗縣頭份市中正三路7號旁,14.05,,鄉村區,乙種建築用地,1121113,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,49.02,1,1,1,有,無,3450000,70379.0,,0.0,0,,RPQNMLRKJIIGFFK78CB,吉品5,A1-4F號,,113_01
頭份市,房地(土地+建物),苗栗縣頭份市中正三路7號旁,14.05,,鄉村區,乙種建築用地,1121112,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,49.02,1,1,1,有,無,3300000,67319.0,,0.0,0,,RPRNMLRKJIIGFFK88CB,吉品5,A1-2F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中興路161號旁,18.8,住,,,1121111,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,混凝土造,,92.19,2,2,2,有,無,9050000,99488.0,升降機械,8.26,700000,,RPTNMLRKJIIGFFK09CB,盺境,A棟6F號,,113_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科學路,14.18,商,,,1121117,土地1建物1車位2,十二層,14,辦公商業大樓,商業用,鋼筋混凝土造,,157.12,1,1,2,有,無,12960000,103517.0,坡道平面,57.04,2600000,,RPPNMLTKJIIGFDK68CB,上德漾,B6棟12號,,113_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科學路,14.18,商,,,1121114,土地1建物1車位1,四層,14,辦公商業大樓,商業用,鋼筋混凝土造,,127.5,1,1,2,有,無,11160000,98521.0,坡道平面,27.42,1300000,,RPSNMLTKJIIGFDK98CB,上德漾,B6棟4號,,113_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科學路,14.18,商,,,1121118,土地1建物1車位1,十四層,14,辦公商業大樓,商業用,鋼筋混凝土造,,128.6,1,1,2,有,無,12000000,104916.0,坡道平面,28.52,1500000,,RPVNMLTKJIIGFDK66CB,上德漾,A6棟14號,,113_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科學路,14.18,商,,,1121114,土地1建物1車位1,六層,14,辦公商業大樓,商業用,鋼筋混凝土造,,128.6,1,1,2,有,無,11490000,99820.0,坡道平面,28.52,1500000,,RPXNMLTKJIIGFDK86CB,上德漾,A6棟6號,,113_01
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮泰田里7鄰109號後方,84.37,,特定農業區,甲種建築用地,1121119,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,154.98,4,3,3,有,無,8600000,55491.0,,0.0,0,,RPPNMLKLJIIGFCK87DB,尊爵名門-泰田段,B棟8號,,113_01
苑裡鎮,房地(土地+建物)+車位,苗栗縣苑裡鎮苑東里1鄰慈和街17號旁,34.47,住,,,1121113,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.17,3,2,2,有,無,7490000,62086.0,其他,7.0,650000,,RPSNMLKLJIIGFCK18DB,城市光點2,2F-C1號,,113_01
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉忠孝路,42.13,住,,,1121112,土地2建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.02,2,2,2,有,無,7640000,67006.0,一樓平面,19.62,0,,RPRNMLLLJIIGFBK97CB,輕井澤NO.13繪萃,E棟2號,,113_01
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉忠孝路,57.34,住,,,1121111,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.92,3,2,2,有,無,10550000,71322.0,一樓平面,19.62,0,,RPPOMLLLJIIGFBK87CB,輕井澤NO.13繪萃,J棟5號,,113_01
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉忠孝路,53.72,住,,,1121111,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.82,3,2,2,有,無,9970000,71306.0,一樓平面,19.62,0,,RPQOMLLLJIIGFBK97CB,輕井澤NO.13繪萃,K棟5號,,113_01
