鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路二段190巷,10.76,商,,,1121111,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.87,2,2,2,有,無,10280000,104891,坡道機械,24.63,500000,,RPPNMLNKJIIGFAN08CB,中正琢越,D-7F號,,113_01
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路一段384號旁,19.57,商,,,1121111,土地13建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.07,3,2,2,有,無,17880000,103032,坡道平面,27.09,1500000,,RPQNMLNKJIIGFAN18CB,中正?華,D棟D-03F號,,113_01
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,21.73,,一般農業區,甲種建築用地,1121111,土地2建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.96,2,1,1,有,無,8030000,87448,坡道平面,31.0,1300000,,RPQNMLNKJIIGFCN38CB,富旺艾美莊園,D棟2號,,113_01
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮大溪路一段619巷,102.48,,鄉村區,乙種建築用地,1121112,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,172.0,4,3,4,有,無,12800000,74419,,0.0,0,建物以地政保存後面積為準。,RPPNMLNKJIIGFHN78CB,陶璽湖東特區,B棟13號,,113_01
大村鄉,房地(土地+建物),彰化縣大村鄉茄苳路一段,101.62,農,,,1121112,土地13建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,154.18,4,2,4,有,無,11900000,77183,,0.0,0,,RPPNMLPKJIIGFDN68DB,大村A2,A棟17號,,113_01
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,15.29,住,,,1121114,土地1建物1車位1,地上001層、夾層001層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,82.32,0,1,1,有,無,10080000,136984,坡道機械,16.4,1050000,,RPQNMLQKJIIGFDN78CB,昌祐時代,住12號,,113_01
田尾鄉,房地(土地+建物),彰化縣田尾鄉平和路一段205巷,89.84,,特定農業區,甲種建築用地,1121111,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,136.56,5,2,3,有,無,9580000,70152,,0.0,0,,RPPNMLQKJIIGFFN88CB,慧來和樂,A6號,,113_01
田中鎮,房地(土地+建物),彰化縣田中鎮員集路三段,29.1,,鄉村區,乙種建築用地,1121115,土地1建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.21,3,2,2,有,無,6350000,66695,,0.0,0,,RPSNMLRKJIIGFEN56CB,弘景心世代,7F-E號,,113_01
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,26.85,,一般農業區,甲種建築用地,1121118,土地2建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.86,3,2,1,有,無,9870000,90344,坡道平面,31.0,1300000,,RPPNMLTKJIIGFCN88CB,富旺艾美莊園,D棟11號,,113_01
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮大溪路一段619巷,95.27,,鄉村區,乙種建築用地,1121119,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,172.0,4,3,4,有,無,12800000,74419,,0.0,0,,RPPNMLKLJIIGFHN58CB,陶璽湖東特區,B棟15號,,113_01
