鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
南投市,房地(土地+建物),南投縣南投市文化南路,110.02,住,,,1130218,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,192.58,4,3,5,有,無,14930000,77526,,0.0,0,,RPPNMLTKKHJGFAM68CB,文化新貴,C棟4號,,113_02
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,38.22,住,,,1130217,土地12建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.41,3,2,2,有,無,10880000,80807,坡道平面,25.0,1150000,,RPQNMLTKKHJGFAM78CB,首富京華,A1棟3號,,113_02
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮集山路三段175巷,36.52,住,,,1130216,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.16,2,1,2,有,無,5900000,60347,一樓平面,20.82,750000,,RPPNMLTKKHJGFDM98CB,聖德淳風竹山一期,A棟2號,,113_02
南投市,房地(土地+建物),南投縣南投市華陽路82巷,96.97,其他,,,1130215,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,150.08,3,3,4,有,無,15680000,104478,,0.0,0,,RPPNMLKLKHJGFAM97DB,玖岩豐華,B27棟0號,,113_02
南投市,房地(土地+建物),南投縣南投市華陽路82巷,102.97,其他,,,1130219,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,150.05,3,3,4,有,無,15400000,102632,,0.0,0,,RPQNMLKLKHJGFAM08DB,玖岩豐華,B31棟0號,,113_02
南投市,房地(土地+建物),南投縣南投市振興巷,54.21,住,,,1130218,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.19,3,2,2,有,無,8300000,67927,,0.0,0,,RPQNMLMLKHJGFAM18CB,知寓,E棟3號,,113_02
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,35.3,住,,,1130220,土地12建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.29,3,2,2,有,無,10330000,81589,坡道平面,25.0,1250000,,RPRNMLMLKHJGFAM28CB,首富京華,A3棟13號,,113_02
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.51,商,,,1130216,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.1,3,2,2,有,無,11190000,93986,坡道平面,26.0,1500000,,RPQNMLNLKHJGFCM48CB,三銳富城,A棟1號,,113_02
南投市,房地(土地+建物),南投縣南投市復興路,26.45,住,,,1130222,土地3建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.22,2,2,2,有,無,6950000,80608,,0.0,0,,RPPNMLQLKHJGFAM48CB,首富京采2,A棟5號,,113_02
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,27.55,住,,,1130224,土地12建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.87,2,2,1,有,無,7530000,73443,坡道平面,25.0,1150000,,RPQNMLQLKHJGFAM58CB,首富京華,B7棟3號,,113_02
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,28.17,住,,,1130224,土地12建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.81,2,2,1,有,無,8230000,79721,坡道平面,25.0,1150000,,RPSNMLQLKHJGFAM78CB,首富京華,B3棟11號,,113_02
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,27.55,住,,,1130224,土地12建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.87,2,2,1,有,無,8030000,79199,坡道平面,25.0,1150000,,RPTNMLQLKHJGFAM88CB,首富京華,B7棟11號,,113_02
草屯鎮,房地(土地+建物),南投縣草屯鎮加老路,122.08,,鄉村區,乙種建築用地,1130225,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,256.06,4,3,5,有,無,25200000,98414,,0.0,0,,RPPNMLQLKHJGFBM68DB,草厚森,D棟1號,,113_02
草屯鎮,房地(土地+建物),南投縣草屯鎮加老路,90.15,,鄉村區,乙種建築用地,1130228,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,176.84,5,3,4,有,無,17300000,97829,,0.0,0,,RPPNMLTLKHJGFBM98DB,草厚森,A棟1號,,113_02
南投市,房地(土地+建物),南投縣南投市文化南路,111.18,住,,,1130228,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,192.58,4,3,5,有,無,14980000,77786,,0.0,0,,RPPNMLLJLHJGFAM87CB,文化新貴,B棟7號,,113_02
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮和平東路,24.4,住,,,1130221,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.92,3,2,2,有,無,12050000,87452,坡道平面,38.0,2000000,,RPPNMLLJLHJGFCM08CB,翔禾之森,A棟5號,,113_02
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.57,商,,,1130216,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.5,3,2,2,有,無,9760000,80773,坡道平面,26.0,1400000,,RPTNMLLJLHJGFCM48CB,三銳富城,B棟5號,,113_02
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.51,商,,,1130227,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.1,3,2,2,有,無,10550000,87779,坡道平面,26.0,1500000,,RPUNMLLJLHJGFCM58CB,三銳富城,A棟6號,,113_02
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.51,商,,,1130227,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.1,3,2,2,有,無,10130000,84675,坡道平面,26.0,1400000,,RPVNMLLJLHJGFCM68CB,三銳富城,A棟6號,,113_02
