鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
西螺鎮,房地(土地+建物),雲林縣西螺鎮雲32鄉道,142.33,,鄉村區,乙種建築用地,1130213,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.65,4,2,4,有,無,8320000,46572.0,,0.0,0,,RPQNMLRKKHJGFCP09CB,幸福天地七期,B2棟0號,,113_02
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮文昌路,43.28,住,,,1130216,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.65,3,2,2,有,無,8400000,63649.0,一樓平面,16.53,1200000,,RPSNMLSKKHJGFCP76CB,宇賀闊朗,B棟3號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,12.17,商,,,1130219,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.05,2,1,2,有,無,10560000,101524.0,坡道機械,17.9,900000,,RPPNMLTKKHJGFAP98CB,品風華,12FE棟1號,,113_02
斗六市,房地(土地+建物),雲林縣斗六市石榴路369巷119弄,85.74,,一般農業區,甲種建築用地,1130217,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.35,3,2,3,有,無,11150000,69972.0,,0.0,0,,RPPNMLKLKHJGFAP18CB,築澤臻美,B棟2號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,14.61,商,,,1130216,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.04,3,1,2,有,無,11140000,85259.0,坡道平面,35.8,1400000,,RPQNMLLLKHJGFAP38CB,品風華,2FE棟2號,,113_02
古坑鄉,房地(土地+建物),雲林縣古坑鄉陽明路,37.4,住,,,1130220,土地2建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.78,3,1,2,有,無,9200000,84574.0,,0.0,0,,RPRNMLMLKHJGFAP58CB,雲龍太棧5期,5F-A2號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市豐興路,33.35,,鄉村區,乙種建築用地,1130221,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.26,2,1,2,有,無,6900000,70222.0,一樓平面,13.75,0,總價已包含車位，車位未單獨計價,RPSNMLMLKHJGFAP68CB,寓見愛2,2C號,,113_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮東南路,139.62,住,,,1130217,土地9建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,232.25,4,3,5,有,無,14880000,64069.0,,0.0,0,,RPPNMLMLKHJGFCP58CB,宇荃寶家,B棟16號,,113_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮東南路,176.24,住,,,1130221,土地10建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,281.96,4,3,5,有,無,23880000,84693.0,,0.0,0,,RPQNMLMLKHJGFCP68CB,宇荃寶家,A棟5號,,113_02
二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路,103.19,住,,,1130221,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,215.13,4,2,5,有,無,12200000,56710.0,,0.0,0,,RPRNMLMLKHJGFCP78CB,寬庭恆美,C棟10號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市正義街與正義一街街口,24.55,住,,,1130215,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.81,3,2,2,有,無,10770000,82280.0,坡道平面,24.93,1400000,,RPPNMLNLKHJGFAP48CB,勝麗進行曲-禧悅區,A棟5號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市正義街與正義一街街口,19.6,住,,,1130219,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.26,2,2,1,有,無,9060000,83872.0,坡道平面,24.93,1400000,,RPQNMLNLKHJGFAP58CB,勝麗進行曲-禧悅區,A棟3號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市正義街與正義一街街口,19.6,住,,,1130219,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.26,2,2,1,有,無,9120000,84529.0,坡道平面,24.93,1400000,,RPRNMLNLKHJGFAP68CB,勝麗進行曲-禧悅區,A棟3號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市棒球十七街,57.34,住,,,1130216,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,166.89,3,2,2,有,無,15940000,107339.0,坡道平面,30.5,1300000,,RPUNMLNLKHJGFAP98CB,是大景,4A號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市棒球十七街,57.34,住,,,1130216,土地1建物1車位2,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,166.89,3,2,2,有,無,17240000,138257.0,坡道平面,61.0,2600000,,RPVNMLNLKHJGFAP09CB,是大景,4B號,,113_02
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮路門牌尚未申請,111.4,,鄉村區,乙種建築用地,1130220,土地7建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,185.53,5,2,5,有,無,9580000,51636.0,,0.0,0,,RPPNMLNLKHJGFFP98CB,山寮888社區,A棟3號,,113_02
麥寮鄉,房地(土地+建物)+車位,雲林縣麥寮鄉橋頭村橋頭門牌尚未申請,24.01,,鄉村區,乙種建築用地,1130220,土地3建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.62,2,2,1,有,無,5370000,60942.0,升降機械,19.81,750000,,RPQNMLNLKHJGFFP09CB,一品苑,B棟3a號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,12.42,商,,,1130223,土地11建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,121.27,2,2,2,有,無,9930000,96308.0,坡道平面,32.7,1400000,,RPPNMLPLKHJGFDP98CB,鎧將雲鼎,A棟11F-B號,,113_02
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉溪美路,86.0,,特定農業區,甲種建築用地,1130226,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,151.2,4,2,4,有,無,9300000,61508.0,,0.0,0,,RPPNMLQLKHJGFAP78CB,墨品硯,A1棟0號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1130223,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.7,2,1,2,有,無,8680000,88235.0,坡道機械,17.9,580000,,RPQNMLQLKHJGFAP88CB,品風華,5FE棟6號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,12.17,商,,,1130225,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.05,2,1,2,有,無,9890000,97846.0,坡道機械,17.9,580000,,RPRNMLQLKHJGFAP98CB,品風華,10FE棟1號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1130226,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.7,2,1,2,有,無,10060000,99782.0,坡道機械,17.9,900000,,RPSNMLQLKHJGFAP09CB,品風華,12FE棟6號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市科?一路,34.0,,工業區,丁種建築用地,1130223,土地2建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.72,2,2,2,有,無,7350000,56660.0,坡道平面,29.63,0,,RPTNMLQLKHJGFAP56CB,翡翠森林,A棟7A8號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市科?一路,27.37,,工業區,丁種建築用地,1130218,土地2建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.03,2,2,2,有,無,6180000,56167.0,坡道平面,29.63,0,,RPUNMLQLKHJGFAP66CB,翡翠森林,B棟5B5號,,113_02
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮頂湳段228地號,24.49,,鄉村區,乙種建築用地,1130219,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,55.32,1,2,1,有,無,3900000,71736.0,一樓平面,13.5,900000,,RPPNMLQLKHJGFCP98CB,璟馥2,B棟3號,,113_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮頂湳段228地號,84.38,,鄉村區,乙種建築用地,1130216,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,143.07,4,2,4,有,無,9900000,69197.0,,0.0,0,,RPQNMLQLKHJGFCP09CB,璟馥-2,A棟2號,,113_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮頂湳段228地號,25.13,,鄉村區,乙種建築用地,1130224,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,56.78,1,2,1,有,無,3300000,58119.0,,0.0,0,,RPRNMLQLKHJGFCP56CB,璟馥-2,G棟2號,,113_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮頂湳段228地號,25.13,,鄉村區,乙種建築用地,1130225,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,56.78,1,2,1,有,無,3180000,56006.0,,0.0,0,,RPSNMLQLKHJGFCP66CB,璟馥-2,G棟4號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興南17號旁,124.6,,鄉村區,乙種建築用地,1130218,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.05,5,1,4,有,無,9880000,57425.0,,0.0,0,,RPQNMLQLKHJGFDP56CB,虎尾親家七期,A棟5號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興南17號旁,112.29,,鄉村區,乙種建築用地,1130218,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,224.14,4,2,4,有,無,10180000,45418.0,,0.0,0,,RPRNMLQLKHJGFDP66CB,虎尾親家七期,B棟3號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮建成路與六十甲路口附近,21.22,住,,,1130216,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.21,2,1,1,有,無,7160000,83194.0,升降機械,13.32,680000,,RPVNMLQLKHJGFDP07CB,真善美二十期-心悅朗朗,A棟5號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮建成路與六十甲路口附近,22.18,住,,,1130217,土地1建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.38,2,1,1,有,無,6500000,79872.0,,0.0,0,,RPOOMLQLKHJGFDP09CB,真善美二十期-心悅朗朗,A棟3號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮過溪段876地號,28.25,,鄉村區,乙種建築用地,1130213,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.71,2,2,1,有,無,5500000,61162.0,一樓平面,13.5,900000,,RPPOMLQLKHJGFDP56CB,中溪苑,B棟5號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮建成路與六十甲路口附近,23.27,住,,,1130217,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.54,2,1,1,有,無,7880000,84487.0,升降機械,13.32,680000,,RPQOMLQLKHJGFDP66CB,真善美二十期-心悅朗朗,A棟1號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮建成路與六十甲路口附近,22.18,住,,,1130217,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.38,2,1,1,有,無,6540000,80364.0,,0.0,0,,RPROMLQLKHJGFDP76CB,真善美二十期-心悅朗朗,A棟3號,,113_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市正義街與正義一街街口,27.85,住,,,1130222,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.02,3,2,2,有,無,11880000,81184.0,坡道平面,24.93,1400000,,RPPNMLRLKHJGFAP88CB,勝麗進行曲-禧悅區,B棟1號,,113_02
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮南昌西路,24.87,住,,,1130223,土地4建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.28,2,2,1,有,無,6950000,80323.0,坡道機械,13.22,680000,,RPPNMLRLKHJGFBP98CB,悅榕花園,F棟6號,,113_02
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮頂湳段228地號,35.02,,鄉村區,乙種建築用地,1130225,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.11,2,2,2,有,無,5280000,66758.0,一樓平面,13.5,900000,,RPPNMLRLKHJGFCP09CB,璟馥-2,A棟4號,,113_02
林內鄉,房地(土地+建物)+車位,雲林縣林內鄉新興路,104.37,住,,,1130225,土地5建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,150.27,4,3,4,有,無,8800000,58561.0,一樓平面,13.75,0,,RPQNMLRLKHJGFAP09DB,御墅庭B,Aa號,,113_02
林內鄉,房地(土地+建物)+車位,雲林縣林內鄉新興路,126.62,住,,,1130223,土地6建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,161.91,4,4,4,有,無,8100000,50028.0,一樓平面,13.75,0,,RPRNMLRLKHJGFAP56DB,御墅庭A,B1號,,113_02
崙背鄉,房地(土地+建物),雲林縣崙背鄉南昌路,102.55,住,,,1130225,土地3建物1車位0,全,3,透天厝,住家用,見其他登記事項,,169.22,4,1,3,有,無,9200000,54367.0,,0.0,0,,RPPNMLRLKHJGFCP56DB,閤豐大吉利,A棟10號,,113_02
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮中興路,103.06,住,,,1130221,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,196.72,4,1,4,有,無,13700000,69642.0,一樓平面,65.6,0,主建物面積180.72平方公尺含停車空間65.6平方公尺,RPPNMLSLKHJGFDP66CB,土庫荷雅NO1,A棟A13號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲六街,112.5,住,,,1130226,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,193.8,4,2,5,有,無,17200000,88751.0,,0.0,0,,RPQNMLSLKHJGFDP76CB,新越梧桐No.7,B11棟0號,,113_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲六街,112.43,住,,,1130223,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,198.97,4,2,5,有,無,17500000,87953.0,,0.0,0,,RPRNMLSLKHJGFDP86CB,新越梧桐No.7,B5棟0號,,113_02
