鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
朴子市,房地(土地+建物)+車位,嘉義縣朴子市維新街,32.24,住,,,1130216,土地2建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.87,3,2,2,有,無,12880000,102384,一樓平面,24.79,1200000,,RPRNMLKLKHJGFBQ58CB,仰望,A3號,,113_02
朴子市,房地(土地+建物)+車位,嘉義縣朴子市維新街,20.85,住,,,1130217,土地2建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.36,2,2,1,有,無,6750000,84734,坡道機械,8.6,500000,,RPSNMLKLKHJGFBQ68CB,仰望,A2號,,113_02
朴子市,房地(土地+建物)+車位,嘉義縣朴子市維新街,20.85,住,,,1130217,土地2建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.36,2,2,1,有,無,7000000,88124,坡道機械,8.6,500000,,RPTNMLKLKHJGFBQ78CB,仰望,A2號,,113_02
朴子市,房地(土地+建物)+車位,嘉義縣朴子市維新街,20.85,住,,,1130217,土地2建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.36,2,2,1,有,無,7000000,88124,坡道機械,8.6,500000,,RPUNMLKLKHJGFBQ88CB,仰望,A2號,,113_02
朴子市,房地(土地+建物)+車位,嘉義縣朴子市維新街,24.38,住,,,1130218,土地2建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.86,2,2,1,有,無,8150000,88106,坡道機械,8.6,550000,,RPVNMLKLKHJGFBQ98CB,仰望,B2號,,113_02
朴子市,房地(土地+建物)+車位,嘉義縣朴子市朴子三路169巷,90.18,商,,,1130220,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,197.67,4,2,4,有,無,20480000,103607,一樓平面,13.75,0,車位面積含在土地面積,RPPNMLLLKHJGFBQ48CB,韻綠,A棟1號,,113_02
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉80縣道,30.38,住,,,1130218,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.51,2,2,2,有,無,8180000,71050,坡道平面,29.27,1200000,,RPQNMLQLKHJGFCQ56CB,民雄帝標,8B號,,113_02
朴子市,房地(土地+建物)+車位,嘉義縣朴子市內厝路,48.87,住,,,1130223,土地1建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.44,3,2,2,有,無,10150000,80123,一樓平面,28.24,1000000,,RPPNMLRLKHJGFBQ09CB,百富璞植,D棟2號,,113_02
朴子市,房地(土地+建物)+車位,嘉義縣朴子市朴子三路169巷,90.18,商,,,1130226,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,195.65,4,2,4,有,無,20680000,105699,一樓平面,13.75,0,車位面積含在土地面積,RPPNMLTLKHJGFBQ66CB,韻綠,A棟5號,,113_02
太保市,房地(土地+建物),嘉義縣太保市嘉58線,25.11,住,,,1130227,土地2建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,63.16,1,2,1,有,無,4580000,72514,,0.0,0,交易總價含下列非屬預售屋價格之費用:家電費:10000元,RPPNMLTLKHJGFDQ86CB,桔境,1棟2C2號,,113_02
梅山鄉,房地(土地+建物),嘉義縣梅山鄉中華街,105.11,住,,,1130223,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,158.74,4,2,3,有,無,11980000,75469,,0.0,0,,RPPNMLTLKHJGFEQ96CB,美山町11,B棟2號,,113_02
朴子市,房地(土地+建物),嘉義縣朴子市?溪口,119.69,,鄉村區,乙種建築用地,1130220,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.62,4,2,4,有,無,12360000,73301,,0.0,0,,RPQNMLLJLHJGFBQ58DB,嘉科鑫境,C棟7號,,113_02
朴子市,房地(土地+建物),嘉義縣朴子市?溪口,120.39,,鄉村區,乙種建築用地,1130224,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.62,4,2,4,有,無,12360000,73301,,0.0,0,,RPRNMLLJLHJGFBQ68DB,嘉科鑫境,C棟5號,,113_02
朴子市,房地(土地+建物),嘉義縣朴子市?溪口,119.81,,鄉村區,乙種建築用地,1130227,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.62,4,2,4,有,無,11600000,68794,,0.0,0,,RPSNMLLJLHJGFBQ78DB,嘉科鑫境,B棟8號,,113_02
水上鄉,房地(土地+建物)+車位,嘉義縣水上鄉水上派出所南側300M,38.39,住,,,1130220,土地3建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.92,2,2,2,有,無,7500000,77383,升降平面,0.0,800000,,RPRNMLOJLHJGFDQ09CB,東唐漾B,B棟5F1號,,113_02
水上鄉,房地(土地+建物)+車位,嘉義縣水上鄉水上派出所南側300M,38.39,住,,,1130228,土地3建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.92,2,2,2,有,無,7450000,76868,升降平面,0.0,700000,,RPSNMLOJLHJGFDQ56CB,東唐漾B,B棟7F3號,,113_02
水上鄉,房地(土地+建物),嘉義縣水上鄉中庄村168縣道旁中庄56-2號,104.72,,鄉村區,乙種建築用地,1130215,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.89,3,2,3,有,無,11850000,75531,,0.0,0,,RPTNMLOJLHJGFDQ66CB,得意23期,C棟2號,,113_02
水上鄉,房地(土地+建物),嘉義縣水上鄉中庄村168縣道旁中庄56-2號,83.25,,鄉村區,乙種建築用地,1130301,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,157.63,3,2,3,有,無,10900000,69149,,0.0,0,,RPUNMLOJLHJGFDQ76CB,得意23期,A棟2號,,113_02
中埔鄉,房地(土地+建物)+車位,嘉義縣中埔鄉中庄仔段61地號等18筆福興路幸福十街交叉口,103.71,住,,,1130217,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,200.3,4,2,4,有,無,19080000,95257,其他,13.75,0,,RPPNMLPJLHJGFDQ98CB,元森和睦,1棟A1號,,113_02
