鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮城東路及隘丁路交叉口,82.62,住,,,1130216,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.79,4,2,5,有,無,11300000,72071.0,,0.0,0,交易總價含下列非屬預售屋價格之費用:贈送家電冷氣提貨?費:110000元,RPQNMLQKKHJGFAG87CB,耀建築,A棟2號,,113_02
三星鄉,房地(土地+建物),宜蘭縣三星鄉雙賢路,76.56,,特定農業區,農牧用地,1130217,土地2建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.41,2,2,2,有,無,4300000,59384.0,,0.0,0,不動產交易總價含10萬農業用地價格。,RPSNMLRKKHJGFAG18CB,原夢三星,4D號,,113_02
三星鄉,房地(土地+建物),宜蘭縣三星鄉雙賢路,104.2,,特定農業區,農牧用地,1130216,土地2建物1車位0,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.51,2,2,2,有,無,4350000,64435.0,,0.0,0,不動產交易總價含10萬農業用地價格。,RPXNMLRKKHJGFAG68CB,原夢三星,1D號,,113_02
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇濱路二段,17.11,住,,,1130215,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.93,1,1,1,有,無,5360000,67673.0,坡道平面,27.98,1100000,,RPQOMLRKKHJGFAG08CB,The Taurus 金牛座,B8棟10樓號,,113_02
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇濱路二段,17.11,住,,,1130215,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.93,1,1,1,有,無,5360000,67673.0,坡道平面,27.98,1100000,,RPROMLRKKHJGFAG18CB,The Taurus 金牛座,B7棟10樓號,,113_02
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇濱路二段,17.11,住,,,1130215,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.93,1,1,1,有,無,5360000,67673.0,坡道平面,27.98,1100000,,RPSOMLRKKHJGFAG28CB,The Taurus 金牛座,B6棟10樓號,,113_02
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇濱路二段,17.11,住,,,1130215,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.93,1,1,1,有,無,5320000,67037.0,坡道平面,27.98,1100000,,RPTOMLRKKHJGFAG38CB,The Taurus 金牛座,B5棟9樓號,,113_02
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇濱路二段,17.11,住,,,1130215,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.93,1,1,1,有,無,5250000,65925.0,坡道平面,27.98,1100000,,RPUOMLRKKHJGFAG48CB,The Taurus 金牛座,B5棟8樓號,,113_02
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇濱路二段,17.11,住,,,1130215,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.93,1,1,1,有,無,5250000,65925.0,坡道平面,27.98,1100000,,RPVOMLRKKHJGFAG58CB,The Taurus 金牛座,B3棟8樓號,,113_02
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇濱路二段,17.11,住,,,1130215,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.14,1,1,1,有,無,5260000,65864.0,坡道平面,27.98,1100000,,RPWOMLRKKHJGFAG68CB,The Taurus 金牛座,B2棟8樓號,,113_02
