鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海七街,20.91,住,,,1121111,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.64,2,2,2,有,無,7120000,75232,,0.0,0,,RPPNMLNKJIIGFAU78CB,日出好學,E棟4號,,113_01
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.91,住,,,1121113,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.39,2,2,2,有,無,8520000,75232,坡道平面,24.75,1400000,,RPXNMLNKJIIGFAU96CB,日出好學,A棟5號,,113_01
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,26.56,住,,,1121113,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.94,3,2,2,有,無,11030000,80123,坡道平面,24.75,1400000,,RPOOMLNKJIIGFAU78CB,日出好學,B棟13號,,113_01
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里二街與東里三街,27.26,住,,,1121111,土地2建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,85.15,2,2,1,有,無,5880000,69055,,0.0,0,,RPPNMLQKJIIGFAU09CB,卓越,1棟2E號,,113_01
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉民生路,41.24,住,,,1121113,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.62,3,2,2,有,無,10700000,78383,坡道平面,15.0,540000,,RPQNMLQKJIIGFAU56CB,千悅藏馥二期B、C區,C棟07號,,113_01
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路七段12巷,214.56,農,,,1121118,土地5建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,153.16,3,2,4,有,無,10750000,70188,,0.0,0,俟後依使用執照設計，土底分割成五筆，詳如第二十二欄位，土地標的清冊所示。本買賣包含私設巷道、道路退縮及保留地。,RPPNMLTKJIIGFAU76CB,禾楓別苑,A棟5號,,113_01
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,36.73,住,,,1121118,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.54,3,2,2,有,無,10320000,75503,坡道平面,26.75,1200000,,RPQNMLTKJIIGFAU86CB,吉美登峰1,B棟5號,,113_01
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉荳蘭三街,30.57,商,,,1121115,土地2建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.27,0,0,2,有,無,11370000,63526,坡道平面,29.9,1500000,本戶無隔間、無地磚。毛胚屋；,RPPNMLKLJIIGFAU68DB,吉安之星,A棟3F-3號,,113_01
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市民生路31號旁,14.91,商,,,1121117,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.47,3,1,2,有,無,11650000,87916,坡道平面,28.0,1850000,,RPPNMLLLJIIGFAU68CB,三銳海景,A棟2號,,113_01
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街39號旁,28.01,住,,,1121116,土地2建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.45,3,2,2,有,無,12280000,96581,坡道平面,39.94,1800000,,RPQNMLLLJIIGFAU78CB,天麗,A棟7F號,,113_01
