鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130217,土地2建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,10500000,78923,坡道平面,35.93,1030000,,RPPNMLQLKHJGFAV76CB,悅山水,D棟14號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市永安街197巷8-1號旁,54.34,住,,,1130224,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.83,3,2,2,有,無,9000000,82698,其他,0.0,0,,RPPNMLQKLHJGFAV76CB,欣輝永安住宅,5A號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市永安街197巷8-1號旁,54.34,住,,,1130224,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.58,3,2,2,有,無,9000000,83659,其他,0.0,0,,RPQNMLQKLHJGFAV86CB,欣輝永安住宅,5B號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130317,土地2建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,10370000,78340,坡道平面,35.93,970000,,RPPNMLTKLHJGFAV07CB,悅山水,D棟8號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市興安段364-5地號,117.03,住,,,1130316,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,190.15,4,2,5,有,無,16000000,84144,其他,0.0,0,,RPPNMLLJMHJGFAV88CB,采暘 心綻,A棟6號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130330,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,9390000,70506,坡道平面,35.93,930000,,RPPNMLTJMHJGFAV07CB,悅山水,D棟2號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130330,土地2建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.67,3,2,2,有,無,10660000,79840,坡道平面,38.68,1080000,,RPQNMLTJMHJGFAV17CB,悅山水,E棟12號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130407,土地2建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,9730000,73839,坡道平面,35.93,870000,,RPRNMLTJMHJGFAV27CB,悅山水,D棟3號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130407,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,10010000,75340,坡道平面,35.93,970000,,RPSNMLTJMHJGFAV37CB,悅山水,D棟4號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,35.74,住,,,1130411,土地2建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.36,2,2,1,有,無,7210000,78472,坡道平面,35.93,820000,,RPPNMLQKMHJGFAV86CB,悅山水,B棟13號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130414,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,9900000,73506,坡道平面,35.93,1080000,,RPQNMLQKMHJGFAV96CB,悅山水,A棟4號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市永安街197巷8-1號旁,54.34,住,,,1130406,土地1建物1車位1,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.67,3,2,2,有,無,8800000,86555,其他,0.0,0,,RPPNMLQLMHJGFAV96CB,欣輝永安住宅,1B號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市永安街197巷8-1號旁,54.34,住,,,1130406,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.83,3,2,2,有,無,8800000,80860,其他,0.0,0,,RPQNMLQLMHJGFAV07CB,欣輝永安住宅,3A號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市中興路三段69巷11號旁,45.95,住,,,1130420,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,123.5,3,2,2,有,無,9200000,74494,一樓平面,15.0,0,,RPPNMLLJNHJGFAV09DB,富貴家園電梯華廈,2B棟0號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段235號旁,43.11,住,,,1130506,土地4建物1車位1,七層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,193.5,4,2,3,有,無,14430000,85629,坡道平面,36.31,970000,,RPPNMLTJNHJGFAV17CB,達永吾南室,A2號,,113_02
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130529,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,9920000,74090,坡道平面,35.93,1030000,,RPPNMLKMNHJGFAV56CB,悅山水,E棟2號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市永安街197巷8-1號旁,54.34,住,,,1130515,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.83,3,2,2,有,無,8800000,80860,其他,0.0,0,,RPPNMLQJOHJGFAV96CB,欣輝永安住宅,2A號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市復興路117號,26.01,住,,,1130527,土地5建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.8,3,2,2,有,無,12500000,95890,一樓平面,12.0,1300000,,RPPNMLNKOHJGFAV76CB,富湛,1棟9D號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130613,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,10330000,78007,坡道平面,35.93,970000,,RPQNMLNKOHJGFAV86CB,悅山水,A棟11號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130607,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.82,3,2,2,有,無,10460000,79507,坡道平面,34.83,920000,,RPRNMLNKOHJGFAV96CB,悅山水,E棟11號,,113_03
台東市,房地(土地+建物),臺東縣臺東市興盛路188號附近,21.74,住,,,1130521,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.34,2,2,1,有,無,5900000,86333,,0.0,0,,RPPNMLSKOHJGFAV27CB,若隱,A棟3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130616,土地2建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.82,3,2,2,有,無,10280000,78007,坡道平面,34.83,920000,,RPQNMLTKOHJGFAV47CB,悅山水,D棟7號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130619,土地2建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,10470000,78673,坡道平面,35.93,1030000,,RPRNMLTKOHJGFAV57CB,悅山水,A棟13號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,43.39,住,,,1130521,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.22,3,2,2,有,無,16860000,100442,坡道平面,27.3,1400000,,RPTNMLTKOHJGFAV77CB,景福維美,A棟8A1號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市興盛路188號附近,30.9,住,,,1130522,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.32,3,2,2,有,無,8980000,87051,升降機械,6.48,550000,,RPVNMLTKOHJGFAV97CB,若隱,A棟2號,,113_03
台東市,房地(土地+建物),臺東縣臺東市樂利路70號旁,146.01,住,,,1130521,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,247.27,5,2,6,有,無,18700000,75626,,0.0,0,,RPPNMLTKOHJGFAV47DB,幸福名園 (北安路),B棟0號,,113_03
台東市,房地(土地+建物),臺東縣臺東市興盛路188號附近,30.9,住,,,1130523,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.38,3,2,2,有,無,8250000,85599,,0.0,0,,RPPNMLKLOHJGFAV56CB,若隱,A棟1號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市興盛路188號附近,30.9,住,,,1130523,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.85,3,2,2,有,無,9000000,87155,升降機械,6.47,600000,,RPQNMLKLOHJGFAV66CB,若隱,A棟2號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市興盛路188號附近,30.9,住,,,1130523,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.85,3,2,2,有,無,8900000,86117,升降機械,6.47,600000,,RPRNMLKLOHJGFAV76CB,若隱,A棟2號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市興盛路188號附近,30.9,住,,,1130526,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.85,3,2,2,有,無,8900000,86117,升降機械,6.47,600000,,RPPNMLMLOHJGFAV76CB,若隱,A棟1號,,113_03
台東市,房地(土地+建物),臺東縣臺東市興盛路188號附近,21.64,住,,,1130527,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.04,2,2,1,有,無,6080000,89359,,0.0,0,,RPQNMLMLOHJGFAV86CB,若隱,A棟5號,,113_03
台東市,房地(土地+建物),臺東縣臺東市興盛路188號附近,21.61,住,,,1130531,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.97,2,2,1,有,無,5750000,84596,,0.0,0,,RPRNMLMLOHJGFAV96CB,若隱,A棟5號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市興盛路188號附近,30.9,住,,,1130531,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.31,3,2,2,有,無,8960000,86844,升降機械,6.47,550000,,RPSNMLMLOHJGFAV07CB,若隱,A棟1號,,113_03
台東市,房地(土地+建物),臺東縣臺東市興盛路188號附近,21.64,住,,,1130601,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.04,2,2,1,有,無,6000000,88183,,0.0,0,,RPTNMLMLOHJGFAV17CB,若隱,A棟5號,,113_03
台東市,房地(土地+建物),臺東縣臺東市興盛路188號附近,21.74,住,,,1130602,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.34,2,2,1,有,無,6020000,88089,,0.0,0,,RPVNMLMLOHJGFAV37CB,若隱,A棟3號,,113_03
台東市,房地(土地+建物),臺東縣臺東市興盛路188號附近,21.64,住,,,1130602,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.04,2,2,1,有,無,5880000,86420,,0.0,0,,RPWNMLMLOHJGFAV47CB,若隱,A棟5號,,113_03
台東市,房地(土地+建物),臺東縣臺東市興盛路188號附近,21.74,住,,,1130602,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.34,2,2,1,有,無,5780000,84577,,0.0,0,,RPXNMLMLOHJGFAV57CB,若隱,A棟3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130526,土地2建物1車位2,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,190.63,3,2,2,有,無,16470000,101963,坡道平面,54.6,2600000,,RPPNMLOLOHJGFAV96CB,景福維美,A棟12A3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130529,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.32,3,2,2,有,無,14810000,98588,坡道平面,27.3,1400000,,RPQNMLOLOHJGFAV07CB,景福維美,A棟8A3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130529,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,15000000,100103,坡道平面,27.3,1400000,,RPRNMLOLOHJGFAV17CB,景福維美,B棟10B3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130529,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,15130000,101060,坡道平面,27.3,1400000,,RPSNMLOLOHJGFAV27CB,景福維美,B棟11B3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.3,住,,,1130529,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,14800000,98631,坡道平面,27.3,1400000,,RPTNMLOLOHJGFAV37CB,景福維美,A棟8A4號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,43.39,住,,,1130528,土地2建物1車位2,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.52,3,2,2,有,無,18340000,102261,坡道平面,54.6,2600000,,RPUNMLOLOHJGFAV47CB,景福維美,B棟10B2號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130528,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.33,3,2,2,有,無,15130000,101669,坡道平面,27.3,1300000,,RPVNMLOLOHJGFAV57CB,景福維美,B棟12B4號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.3,住,,,1130531,土地2建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,14310000,95024,坡道平面,27.3,1400000,,RPPNMLTLOHJGFAV47CB,景福維美,A棟4A4號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130531,土地2建物1車位2,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,190.66,3,2,2,有,無,16420000,100103,坡道平面,54.6,2800000,,RPQNMLTLOHJGFAV57CB,景福維美,A棟10A3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,43.39,住,,,1130531,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.22,3,2,2,有,無,17230000,102846,坡道平面,27.3,1400000,,RPRNMLTLOHJGFAV67CB,景福維美,A棟11A1號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130605,土地2建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.25,3,2,2,有,無,14630000,97993,坡道平面,33.22,1300000,,RPPNMLLJPHJGFAV56CB,景福維美,A棟7A3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.3,住,,,1130605,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,14880000,99220,坡道平面,27.3,1400000,,RPQNMLLJPHJGFAV66CB,景福維美,A棟9A4號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.3,住,,,1130606,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,14800000,98631,坡道平面,27.3,1400000,,RPRNMLLJPHJGFAV76CB,景福維美,B棟8B3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,43.39,住,,,1130606,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.22,3,2,2,有,無,17090000,101936,坡道平面,27.3,1400000,,RPSNMLLJPHJGFAV86CB,景福維美,A棟10A1號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.3,住,,,1130610,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,14880000,99220,坡道平面,27.3,1400000,,RPTNMLLJPHJGFAV96CB,景福維美,B棟9B3號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.3,住,,,1130612,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,14900000,100103,坡道平面,27.3,1300000,,RPUNMLLJPHJGFAV07CB,景福維美,A棟10A4號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,43.39,住,,,1130614,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.14,3,2,2,有,無,17270000,103755,坡道平面,33.22,1300000,,RPVNMLLJPHJGFAV17CB,景福維美,A棟12A1號,,113_03
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1130629,土地2建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,10470000,78673,坡道平面,35.93,1030000,,RPPNMLMJPHJGFAV66CB,悅山水,D棟13號,,113_03
