鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
中正區,房地(土地+建物),基隆市中正區觀海街１０３號２樓,15.03,住,,,1130202,土地2建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880114.0,73.63,2,1,2,有,有,2200000,29879.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQJKHJGFDC08DA,50.71,0.0,6.7,有,1.0,113_01
中正區,房地(土地+建物),基隆市中正區新豐街４６０之１５號三樓,10.87,住,,,1130202,土地3建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,861121.0,58.95,1,1,1,有,有,4000000,67854.0,,0.0,0,陽台外推；,RPVOMLQJKHJGFDC28DA,39.82,0.0,4.46,有,,113_01
安樂區,房地(土地+建物),基隆市安樂區麥金路１９３之２號１０樓,12.48,住,,,1130205,土地8建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860718.0,102.62,3,2,2,有,有,8850000,86240.0,,0.0,0,,RPQOMLKLKHJGFDC37DA,71.74,0.83,2.46,有,,113_01
中正區,房地(土地+建物)+車位,基隆市中正區觀海街１１８號５樓,24.57,住,,,1130207,土地1建物1車位1,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880114.0,165.8,4,2,2,有,有,7380000,44511.0,坡道平面,0.0,0,,RPUPMLKLKHJGFDC87DA,88.85,0.0,13.15,有,,113_01
七堵區,土地,友蚋段十四坑小段23-2地號,184.0,,山坡地保育區,農牧用地,1130219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,520000,2826.0,,0.0,0,,RPQNMLLLKHJGFDC47EA,0.0,0.0,0.0,無,,113_01
信義區,土地,東信段三小段28地號,24.94,,,,1130216,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,710000,28468.0,,0.0,0,未登記建物；,RPOOMLMLKHJGFDC37DA,0.0,0.0,0.0,無,2.0,113_01
七堵區,房地(土地+建物),基隆市七堵區東新街７３巷６４弄７號４樓,12.96,住,,,1130215,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,810904.0,56.59,2,1,1,有,無,3000000,53013.0,,0.0,0,,RPPNMLMLKHJGFDC47EA,48.79,0.81,5.31,無,,113_01
安樂區,房地(土地+建物),基隆市安樂區新西街２巷２４之２６號,32.39,都市：其他:住宅區,,,1130208,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670502.0,71.67,3,2,1,有,無,3250000,45347.0,,0.0,0,陽台未登記、天井增建,RPSNMLQKKHJGFDC97DA,71.67,0.0,0.0,無,3.0,113_01
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１３號六樓,31.66,住,,,1130204,土地8建物1車位1,六層，見其他登記事項,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980209.0,124.54,2,2,2,有,有,8320000,66806.0,坡道平面,0.0,0,陽台外推；其他增建；,RPVNMLMLKHJGFDC97DA,68.49,2.09,3.31,有,4.0,113_01
信義區,房地(土地+建物),基隆市信義區東明路７７巷９之８號,16.0,住,,,1130206,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660520.0,64.26,2,1,1,有,無,3500000,54466.0,,0.0,0,,RPPNMLPLKHJGFDC67DA,56.84,0.0,7.42,無,5.0,113_01
