鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1121111,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.91,2,2,1,有,無,9900000,89473,坡道平面,41.35,1350000,,RPTNMLNLJIIGFDC77CB,海豔,F1棟7號,,113_01
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,34.76,住,,,1121111,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.16,3,2,2,有,無,16000000,114122,坡道平面,41.35,1300000,,RPUNMLNLJIIGFDC87CB,海豔,B2棟13號,,113_01
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,32.82,住,,,1121111,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.1,3,2,2,有,無,12950000,94141,坡道平面,41.35,1300000,,RPVNMLNLJIIGFDC97CB,海豔,C2棟11號,,113_01
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1121112,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.62,2,2,1,有,無,10580000,93925,坡道平面,41.35,1350000,,RPWNMLNLJIIGFDC08CB,海豔,C1棟7號,,113_01
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,32.82,住,,,1121118,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.1,3,2,2,有,無,12600000,91313,坡道平面,41.35,1300000,,RPXNMLNLJIIGFDC18CB,海豔,C2棟6號,,113_01
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1121120,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.62,2,2,1,有,無,10320000,92297,坡道平面,41.35,1250000,,RPOOMLNLJIIGFDC37CB,海豔,C5棟6號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.61,商,,,1121111,土地1建物1車位1,二十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.52,3,1,2,有,無,13890000,101688,坡道平面,29.66,1600000,,RPQNMLSLJIIGFDC97CB,夢悅城,E棟05號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1121111,土地1建物1車位1,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.16,2,1,1,有,無,10380000,100347,坡道平面,29.66,1700000,,RPTNMLSLJIIGFDC28CB,夢悅城,D棟08號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1121111,土地1建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.13,2,1,1,有,無,10160000,97812,坡道平面,29.66,1800000,,RPOOMLSLJIIGFDC87CB,夢悅城,A棟08號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.39,商,,,1121111,土地1建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.75,3,1,2,有,無,13000000,106042,坡道平面,29.66,1750000,,RPPOMLSLJIIGFDC97CB,夢悅城,F棟01號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,商,,,1121114,土地1建物1車位1,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.42,2,1,1,有,無,9950000,94514,坡道平面,29.66,1750000,,RPQOMLSLJIIGFDC08CB,夢悅城,G棟09號,,113_01
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,18.75,商,,,1121111,土地1建物1車位0,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.51,3,1,2,有,無,11500000,94642,,0.0,0,,RPROMLSLJIIGFDC18CB,夢悅城,E棟05號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.61,商,,,1121111,土地1建物1車位1,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.78,3,1,2,有,無,13800000,99901,坡道平面,29.66,1700000,,RPSOMLSLJIIGFDC28CB,夢悅城,D棟05號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,20.71,商,,,1121111,土地1建物1車位2,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.72,4,1,2,有,無,16580000,96577,坡道平面,59.32,3600000,,RPUOMLSLJIIGFDC48CB,夢悅城,B棟03號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.45,商,,,1121111,土地1建物1車位1,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.49,2,1,1,有,無,9400000,100717,坡道機械,14.57,1250000,,RPVOMLSLJIIGFDC58CB,夢悅城,A棟02號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1121112,土地1建物1車位1,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.04,2,1,1,有,無,9950000,95508,坡道平面,29.66,1700000,,RPOPMLSLJIIGFDC97CB,夢悅城,C棟08號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1121112,土地1建物1車位1,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.03,2,1,1,有,無,11000000,108352,坡道平面,29.66,1750000,,RPSPMLSLJIIGFDC38CB,夢悅城,E棟02號,,113_01
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,商,,,1121111,土地1建物1車位1,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.52,2,1,1,有,無,9810000,95096,坡道平面,29.66,1550000,,RPUPMLSLJIIGFDC58CB,夢悅城,D棟07號,,113_01
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1121126,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.1,2,2,1,有,無,9690000,88549,坡道平面,41.35,1300000,,RPXPMLSLJIIGFDC88CB,海豔,F1棟4號,,113_01
安樂區,房地(土地+建物)+車位,基隆市安樂區武聖街186-2號旁,112.01,住,,,1121128,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,221.61,2,1,2,有,無,17100000,77163,一樓平面,13.75,0,,RPQNMLKMJIIGFDC37DB,藝墅 VILLA,A1棟1號,,113_01
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,24.97,住,,,1121124,土地1建物0車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.27,2,2,1,有,無,9650000,85687,坡道平面,41.49,1700000,,RPPNMLKKKIIGFDC07CB,宏貿臻璽,A棟3-3F號,,113_01
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,24.97,住,,,1121125,土地1建物0車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.27,2,2,1,有,無,9750000,86764,坡道平面,41.49,1700000,,RPRNMLKKKIIGFDC27CB,宏貿臻璽,B棟1-6F號,,113_01
信義區,房地(土地+建物)+車位,基隆市信義區深澳坑路168巷52弄旁,40.94,住,,,1121201,土地5建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.67,2,2,2,有,無,8500000,75786,升降機械,15.13,350000,,RPRNMLMKKIIGFDC47CB,盛森秀美,D棟4號,,113_01
信義區,房地(土地+建物)+車位,基隆市信義區深澳坑路168巷52弄旁,40.94,住,,,1121204,土地5建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.67,2,2,2,有,無,8530000,76065,升降機械,15.13,350000,,RPSNMLMKKIIGFDC57CB,盛森秀美,D棟5號,,113_01
