鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,32.61,住,,,1121112,土地1建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.16,3,2,2,有,無,27050000,166264.0,坡道平面,33.0,2250000,,RPPNMLMKJIIGFAO18DB,鴻萃,A棟2號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市原興路,36.27,,鄉村區,乙種建築用地,1121111,土地1建物1車位2,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.93,3,2,2,有,無,23920000,150606.0,坡道平面,68.0,3900000,,RPPNMLOKJIIGFAO28CB,當岱是也,D棟10號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市仁德街,16.29,商,,,1121112,土地1建物1車位2,二十三層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.07,4,2,2,有,無,34820000,212832.0,坡道平面,69.02,4800000,,RPQNMLPKJIIGFAO48CB,昌傑謙謙,A棟23號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,30.74,住,,,1121117,土地1建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.58,3,2,2,有,無,27600000,180680.0,坡道平面,33.0,2200000,,RPPNMLTKJIIGFAO88DB,鴻萃,D棟10號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,32.41,住,,,1121118,土地1建物1車位1,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.17,3,2,2,有,無,28750000,178849.0,坡道平面,33.0,2250000,,RPQNMLTKJIIGFAO98DB,鴻萃,C棟9號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,32.41,住,,,1121118,土地1建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.17,3,2,2,有,無,28950000,179524.0,坡道平面,33.0,2350000,,RPRNMLTKJIIGFAO09DB,鴻萃,C棟10號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市占梅路,13.03,商,,,1121112,土地1建物1車位2,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.99,3,2,2,有,無,37500000,238813.0,坡道平面,52.9,5000000,,RPQNMLKLJIIGFAO08CB,富宇-天雋,A5棟20號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路640巷168弄26號旁,29.27,住,,,1121117,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.81,3,2,2,有,無,17100000,136356.0,一樓平面,35.97,1850000,,RPPNMLKLJIIGFAO08DB,鷁欣 緻境,C棟9F號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路640巷168弄26號旁,29.27,住,,,1121111,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.81,3,2,2,有,無,16750000,132779.0,一樓平面,35.97,1900000,,RPQNMLKLJIIGFAO18DB,鷁欣 緻境,C棟6F號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路640巷168弄26號旁,29.27,住,,,1121118,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.81,3,2,2,有,無,16280000,128577.0,坡道平面,35.97,1900000,,RPRNMLKLJIIGFAO28DB,鷁欣 緻境,C棟4F號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市和平路,25.4,住,,,1121118,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.73,4,2,2,有,無,26350000,171886.0,坡道平面,43.23,2200000,,RPQNMLLLJIIGFAO18CB,筑光,B棟9號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路四段280之3號旁,30.07,住,,,1121116,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.95,4,2,2,有,無,24380000,144581.0,坡道平面,29.85,2100000,,RPRNMLLLJIIGFAO28CB,富源一峰華,Ｃ棟14號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂一路,34.38,住,,,1121111,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.31,3,2,2,有,無,34970000,202913.0,坡道平面,35.03,2650000,,RPPNMLOLJIIGFAO38CB,金弘天希,A2棟5F號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段,13.14,商,,,1121119,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.82,3,2,2,有,無,20260000,148456.0,坡道平面,28.8,1700000,,RPQNMLOLJIIGFAO48CB,聚吉第,B棟2-4號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市北區西門街,28.99,住,,,1121124,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.46,3,2,2,有,無,27000000,193890.0,坡道平面,33.1,2500000,,RPPNMLOLJIIGFAO48DB,鴻碩,B-8號,1130226全部解約,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市北區西門街,28.02,住,,,1121120,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.27,3,2,2,有,無,23800000,177621.0,坡道平面,33.1,2100000,,RPQNMLOLJIIGFAO58DB,鴻碩,A-4號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市東南街,15.86,商,,,1121116,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.92,3,2,2,有,無,23400000,192878.0,坡道平面,40.08,2600000,,RPQNMLPLJIIGFAO58CB,大任天澄,A2棟6F號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市東南街,16.02,商,,,1121116,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.05,3,2,2,有,無,23500000,191796.0,坡道平面,40.08,2600000,,RPRNMLPLJIIGFAO68CB,大任天澄,A3棟8F號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市東南街,14.56,商,,,1121118,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.15,3,2,2,有,無,22100000,198861.0,坡道平面,36.84,2550000,,RPSNMLPLJIIGFAO78CB,大任天澄,A2棟14F號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段,17.29,商,,,1121118,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.29,4,2,2,有,無,26100000,148337.0,坡道平面,28.8,1700000,,RPVNMLPLJIIGFAO09CB,聚吉第,A棟1-07號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市興濱路,20.46,住,,,1121124,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.14,3,2,2,有,無,19000000,138022.0,坡道平面,29.42,2200000,,RPPNMLQLJIIGFAO58CB,富宇-仰睦,A1棟14號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市興濱路,20.46,住,,,1121115,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.14,3,2,2,有,無,17200000,126931.0,坡道平面,29.42,1750000,,RPRNMLQLJIIGFAO78CB,富宇-仰睦,A2棟4號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市興濱路,22.06,住,,,1121123,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.53,4,2,2,有,無,19660000,133171.0,坡道平面,29.42,2200000,,RPSNMLQLJIIGFAO88CB,富宇-仰睦,A3棟8號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市興濱路,22.06,住,,,1121123,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,189.95,4,2,2,有,無,22000000,138815.0,坡道平面,58.84,3800000,,RPTNMLQLJIIGFAO98CB,富宇-仰睦,A3棟14號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市興濱路,12.82,住,,,1121117,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.04,2,2,1,有,無,12380000,136779.0,坡道平面,29.42,1900000,,RPWNMLQLJIIGFAO66CB,富宇-仰睦,B6棟8號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市興濱路,12.82,住,,,1121118,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.04,2,2,1,有,無,12440000,139520.0,坡道平面,29.42,1750000,,RPXNMLQLJIIGFAO76CB,富宇-仰睦,B6棟10號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市金雅六街,22.46,,鄉村區,乙種建築用地,1121125,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.73,2,2,1,有,無,15000000,149390.0,坡道平面,38.04,1900000,,RPQNMLRLJIIGFAO78CB,力天品翰,B棟4號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市仁德街,14.43,商,,,1121113,土地1建物1車位1,七層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.56,3,2,2,有,無,26760000,193603.0,坡道平面,34.51,2550000,,RPRNMLRLJIIGFAO88CB,昌傑謙謙,B棟7號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市仁德街,14.43,商,,,1121113,土地1建物1車位1,十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.56,3,2,2,有,無,28130000,203758.0,坡道平面,34.51,2650000,,RPSNMLRLJIIGFAO98CB,昌傑謙謙,B棟15號,,113_01
新竹市,房地(土地+建物)+車位,新竹市新竹市仁德街,14.28,商,,,1121114,土地1建物1車位1,十層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.33,3,2,2,有,無,26980000,196495.0,坡道平面,34.51,2650000,,RPTNMLRLJIIGFAO09CB,昌傑謙謙,H棟10號,,113_01
