鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
馬公市,房地(土地+建物),澎湖縣馬公市馬公段293，297地號等2筆,22.85,商,,,1130302,土地2建物1車位0,六層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,144.74,3,1,2,有,無,12800000,88434,,0.0,0,,RPQNMLMKLHJGFAX76DB,新澄大樓,6樓棟B號,,113_02
馬公市,房地(土地+建物),澎湖縣馬公市馬公段293，297地號等2筆,22.85,商,,,1130402,土地2建物1車位0,八層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,144.74,3,1,2,有,無,12800000,88434,,0.0,0,,RPPNMLPKMHJGFAX07DB,新澄大樓,8樓棟A號,,113_02
馬公市,房地(土地+建物),澎湖縣馬公市成功街,20.48,住,,,1130503,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,69.04,2,2,2,有,無,8080000,117034,,0.0,0,,RPPNMLTJNHJGFAX37CB,昌錦豐碩,A5-2棟0號,,113_02
馬公市,房地(土地+建物),澎湖縣馬公市文寮段532地號,21.14,,鄉村區,乙種建築用地,1130622,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,70.61,2,2,2,有,無,5200000,73644,,0.0,0,,RPQNMLTJPHJGFAX77DB,泰然謙華,1棟D1號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市文寮段532地號,21.14,,鄉村區,乙種建築用地,1130617,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,70.61,2,2,2,有,無,5200000,73644,,0.0,0,,RPRNMLTJPHJGFAX87DB,泰然謙華,1棟D2號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市文寮段532地號,21.14,,鄉村區,乙種建築用地,1130617,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,70.61,2,2,2,有,無,5330000,75485,,0.0,0,,RPSNMLTJPHJGFAX97DB,泰然謙華,1棟D1號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市成功街,20.48,住,,,1130625,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,69.04,2,2,2,有,無,7680000,111240,,0.0,0,,RPQNMLKKPHJGFAX86CB,昌錦豐碩,A4-2棟0號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市北極段661-13地號共1筆,105.06,住,,,1130624,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,229.42,4,2,5,有,無,12980000,56577,,0.0,0,,RPQNMLKKPHJGFAX96DB,崧庭御苑,A15棟0號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市馬公段293，297地號等2筆,22.85,商,,,1130713,土地2建物1車位0,六層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,135.55,3,1,2,有,無,12800000,94430,,0.0,0,,RPPNMLTLPHJGFAX87DB,新澄大樓,6樓棟A號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市馬公段293，297地號等2筆,14.01,商,,,1130714,土地2建物1車位0,四層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,83.21,2,1,2,有,無,8000000,96142,,0.0,0,,RPRNMLTLPHJGFAX08DB,新澄大樓,4樓棟D號,,113_03
馬公市,房地(土地+建物)+車位,澎湖縣馬公市馬公段293，297地號等2筆,22.85,商,,,1130715,土地2建物1車位1,四層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,149.55,3,1,2,有,無,13500000,90271,升降機械,16.5,0,,RPPNMLKMPHJGFAX07DB,新澄大樓,4樓棟B號,,113_03
馬公市,房地(土地+建物)+車位,澎湖縣馬公市馬公段293，297地號等2筆,14.01,商,,,1130713,土地2建物1車位1,六層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,99.71,2,1,2,有,無,8080000,81035,升降機械,16.5,0,,RPQNMLKMPHJGFAX17DB,新澄大樓,6樓棟D號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市文寮段532地號,21.14,,鄉村區,乙種建築用地,1130720,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,70.61,2,2,2,有,無,5230000,74069,,0.0,0,,RPPNMLLMPHJGFAX17DB,泰然謙華,1棟D1號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市文寮段532地號,21.14,,鄉村區,乙種建築用地,1130720,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,70.61,2,2,2,有,無,5200000,73644,,0.0,0,,RPQNMLLMPHJGFAX27DB,泰然謙華,1棟D1號,,113_03
馬公市,房地(土地+建物),澎湖縣馬公市文寮段532地號,21.14,,鄉村區,乙種建築用地,1130719,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,70.61,2,2,2,有,無,4800000,67979,,0.0,0,,RPRNMLLMPHJGFAX37DB,泰然謙華,1棟D2號,,113_03
