鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
金湖鎮,房地(土地+建物),金門縣金湖鎮夏興段1178-1、1179地號等2筆,45.2,其他,,,1130307,土地2建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.22,3,1,2,有,無,6700000,64287,,0.0,0,,RPPNMLTKLHJGFAW27DB,龍成夏興集合住宅新建工程,1棟3F-C2號,,113_02
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉大橋湖峰段83地號,13.78,住,,,1130316,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.38,3,1,2,有,無,10886000,98149,坡道平面,24.75,1500000,,RPPNMLPLLHJGFAW86CB,金門書院,1棟8樓C12號,,113_02
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉大橋湖峰段83地號,20.15,住,,,1130318,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.58,4,1,2,有,無,16200000,103645,坡道平面,24.75,1500000,,RPPNMLQLLHJGFAW96CB,金門書院,1棟11樓C9號,,113_02
金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,50.0,其他,,,1130318,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.67,3,2,2,有,無,8520000,80628,,0.0,0,,RPPNMLTLLHJGFAW27CB,湖峰華居集合住宅新建工程,A2幢B2棟3C號,,113_02
金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,50.0,其他,,,1130321,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.67,3,2,2,有,無,8500000,80439,,0.0,0,,RPQNMLTLLHJGFAW37CB,湖峰華居集合住宅新建工程,A2幢B2棟3D號,,113_02
金湖鎮,房地(土地+建物),金門縣金湖鎮夏興段1178-1、1179地號等2筆,45.2,其他,,,1130315,土地2建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.13,3,1,2,有,無,6700000,66913,,0.0,0,,RPPNMLTLLHJGFAW37DB,龍成夏興集合住宅新建工程,1棟1F-C2號,,113_02
金湖鎮,房地(土地+建物),金門縣金湖鎮夏興段1178-1、1179地號等2筆,45.2,其他,,,1130319,土地2建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.22,3,1,2,有,無,6750000,64767,,0.0,0,,RPQNMLTLLHJGFAW47DB,龍成夏興集合住宅新建工程,1棟2F-C2號,,113_02
金湖鎮,房地(土地+建物),金門縣金湖鎮夏興段1178-1、1179地號等2筆,45.2,其他,,,1130320,土地2建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.45,3,1,2,有,無,6700000,64146,,0.0,0,,RPRNMLTLLHJGFAW57DB,龍成夏興集合住宅新建工程,1棟4F-C1號,,113_02
金湖鎮,房地(土地+建物),金門縣金湖鎮夏興段1178-1、1179地號等2筆,45.2,其他,,,1130321,土地2建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.22,3,1,2,有,無,7000000,67166,,0.0,0,,RPSNMLTLLHJGFAW67DB,龍成夏興集合住宅新建工程,1棟5F-C2號,,113_02
金湖鎮,房地(土地+建物),金門縣金湖鎮夏興段1178-1、1179地號等2筆,45.2,其他,,,1130323,土地2建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.45,3,1,2,有,無,7270000,69603,,0.0,0,,RPTNMLTLLHJGFAW77DB,龍成夏興集合住宅新建工程,1棟5F-C1號,,113_02
金湖鎮,房地(土地+建物),金門縣金湖鎮夏興段1178-1、1179地號等2筆,45.2,其他,,,1130324,土地2建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.22,3,1,2,有,無,6400000,61409,,0.0,0,,RPUNMLTLLHJGFAW87DB,龍成夏興集合住宅新建工程,1棟4F-C2號,,113_02
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉大橋湖峰段83地號,18.0,住,,,1130410,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.54,3,1,2,有,無,13530000,94139,坡道平面,24.75,1500000,,RPPNMLLKMHJGFAW09CB,金門書院,1棟8FC13號,,113_02
金寧鄉,房地(土地+建物),金門縣金寧鄉大橋湖峰段83地號,9.04,住,,,1130415,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.15,2,0,1,有,無,6500000,101325,,0.0,0,,RPPNMLQKMHJGFAW96CB,金門書院,1棟8FC3號,,113_02
