區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
松山區,97,116,142,69,-21,-104,-117,-191,-664,-319,-230,-77
信義區,-80,-120,-196,79,-111,-20,-117,-249,-210,-180,-172,-73
大安區,35,85,173,159,-86,-19,-342,-447,-442,-363,-32,-66
中山區,26,-52,-153,86,-64,25,-82,-200,-42,-162,-90,-201
中正區,38,27,57,28,-166,-186,-16,-356,-495,-304,-164,-110
大同區,29,3,60,-74,-15,-33,-163,-120,-17,-153,-91,-183
萬華區,-147,-113,-103,-59,-122,-56,-82,-15,-47,-129,-78,-132
文山區,16,-51,-20,-100,-88,-43,-116,-150,-387,-264,-300,-348
南港區,-67,-9,-92,-80,-95,-121,-105,-53,-215,-177,-166,-152
內湖區,-18,-48,-133,-210,-131,-103,-187,-426,-614,-390,-334,-274
士林區,-16,-95,-47,-57,-201,-47,-230,-162,-515,-334,-214,-313
北投區,-73,-95,21,-135,-102,-66,-50,-149,-196,-317,-192,-280
總計,-160,-352,-291,-294,"-1,202",-773,"-1,607","-2,518","-3,844","-3,092","-2,063","-2,209"
