區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
板橋區,46,91,-24,111,326,121,296,177,-180,41,106,340
三重區,-120,-7,-150,-142,74,-69,298,298,76,81,46,55
中和區,-169,-48,-146,4,-3,-10,160,217,362,23,73,102
永和區,5,138,53,-67,41,-38,-96,-143,-231,34,-13,56
新莊區,56,16,36,115,415,72,270,177,81,-31,62,147
新店區,26,-9,-57,139,228,72,299,197,354,83,75,75
樹林區,-127,-16,-116,-38,20,-38,21,103,-78,-46,-41,-69
鶯歌區,68,-3,0,15,79,56,50,20,70,39,46,34
三峽區,64,52,101,34,53,28,23,52,25,31,51,43
淡水區,469,303,349,454,605,340,595,542,448,316,347,248
汐止區,224,164,218,157,216,112,557,336,325,208,194,135
瑞芳區,-20,-22,-77,-45,10,-7,-1,-17,-50,1,10,-11
土城區,-83,32,-20,-24,29,-69,58,23,107,87,11,59
蘆洲區,-25,24,-103,14,38,92,49,-49,70,-132,77,-45
五股區,96,111,18,151,176,118,208,198,175,125,96,56
泰山區,-11,-6,-11,-31,10,46,-83,41,-31,-20,-24,-37
林口區,569,443,406,443,478,336,357,433,448,357,344,413
深坑區,27,33,6,-30,-15,-26,37,44,19,-20,5,20
石碇區,9,-8,-30,-22,9,0,0,-14,-10,12,14,1
坪林區,23,2,5,15,17,21,-10,2,2,19,15,0
三芝區,-24,-38,-5,-3,-28,18,2,-8,-13,-7,-2,8
石門區,-15,-24,-19,-26,3,-13,-30,-19,-33,-22,-14,-18
八里區,-4,-38,11,0,77,41,90,87,94,95,54,64
平溪區,11,-5,0,-3,-12,-10,-2,-3,-3,-15,6,0
雙溪區,-7,-7,-12,-15,1,-6,-23,-14,5,5,-10,-12
貢寮區,-20,-23,-22,-7,-13,-8,-20,-18,-8,0,-7,-11
金山區,-16,-32,-35,-27,-30,-23,-30,-41,-38,-13,6,-11
萬里區,-15,-43,-41,2,-1,31,32,5,-12,-12,-10,-32
烏來區,12,-31,-35,-18,0,26,5,13,-3,-3,-6,15
總計,"1,049","1,049",300,"1,156","2,803","1,213","3,112","2,639","1,971","1,236","1,511","1,625"
