區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中區,46,0,-4,12,-72,-15,-65,-92,-8,17,-5,-4
東區,21,-30,83,64,38,56,84,44,-29,-12,18,17
南區,42,-8,87,32,91,72,225,224,160,32,45,94
西區,8,78,52,1,-29,-114,-24,-59,-66,32,-26,-62
北區,36,40,0,-25,-80,-43,-35,-70,-83,41,65,20
西屯區,151,136,172,117,56,83,123,87,115,108,177,128
南屯區,44,29,25,153,301,146,124,125,126,94,76,200
北屯區,214,295,243,248,301,273,233,418,253,249,289,246
豐原區,-15,91,-91,-13,13,-83,-3,-22,-48,-26,-30,52
東勢區,-4,-23,14,7,10,-10,-39,15,-7,-1,-4,-12
大甲區,37,11,31,0,-14,-7,14,-55,-23,27,-37,44
清水區,35,5,-27,1,4,4,-27,24,-47,-19,28,-10
沙鹿區,20,74,142,89,46,93,54,47,10,100,6,125
梧棲區,17,29,18,-25,-9,18,11,-16,15,35,-1,5
后里區,-18,-31,24,-2,18,17,35,-14,-24,38,27,13
神岡區,-4,4,35,-27,3,-29,-43,-72,17,15,-26,-16
潭子區,63,-64,8,47,74,91,41,85,33,19,37,-35
大雅區,46,55,61,19,85,12,55,78,-13,-3,22,-87
新社區,-33,-12,1,-24,-15,11,10,2,-18,-14,0,-18
石岡區,-2,-4,-17,-3,5,-15,-16,-6,-5,-13,5,28
外埔區,-15,-25,9,7,0,-9,16,53,46,-22,32,17
大安區,-13,-10,1,4,-8,0,-1,-20,-13,-17,-1,-15
烏日區,107,91,67,11,33,88,46,129,9,65,60,55
大肚區,-38,21,-3,19,-8,13,-3,43,-53,23,-10,-22
龍井區,30,-46,-70,-64,87,1,39,47,67,46,83,62
霧峰區,41,-14,19,36,23,60,86,64,36,9,-53,34
太平區,176,125,62,135,217,103,147,394,285,68,192,306
大里區,69,83,108,49,-6,-57,59,-43,-40,83,13,46
和平區,27,3,13,8,7,11,29,-5,11,31,16,26
總計,"1,088",903,"1,063",876,"1,171",770,"1,175","1,405",706,"1,005",998,"1,237"
