區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
新營區,34,-30,-33,-74,-60,-23,-101,-50,-15,-27,-44,-23
鹽水區,-6,9,9,-6,-9,7,-1,-25,9,-1,-20,-3
白河區,-1,-21,-3,-17,-4,-9,-27,-22,-34,-7,-4,-6
柳營區,-18,-33,-20,22,24,3,26,38,-1,-1,7,-14
後壁區,-28,-30,-24,13,16,-13,-2,-35,-3,4,1,-16
東山區,-21,-15,5,-7,-3,-1,-19,-3,-16,-6,2,-20
麻豆區,-9,6,-7,-19,-31,-3,-44,14,-25,12,-7,31
下營區,-14,-19,1,-26,-1,-6,5,9,3,0,10,-4
六甲區,-9,11,1,-6,-8,-41,-5,-6,-47,-11,-19,-5
官田區,-5,-11,-16,22,2,20,20,18,35,31,21,14
大內區,-17,-8,-16,-7,-6,-13,-3,-15,-1,2,-13,-3
佳里區,49,-24,-6,41,1,25,-17,39,-12,-19,31,32
學甲區,0,13,4,-14,3,-5,4,-11,-26,4,2,1
西港區,-4,-9,11,-26,-45,7,-1,13,2,-6,5,7
七股區,0,23,-34,-30,-12,-34,-38,-45,-9,-18,-11,1
將軍區,-6,-1,-3,1,-8,-26,-9,-21,2,-21,-13,-21
北門區,-7,-21,-19,-5,-14,-9,-15,-14,-6,-11,-2,-12
新化區,-11,-3,17,25,5,0,-46,-17,-14,-14,-2,14
善化區,80,101,130,89,129,78,92,78,138,45,47,31
新市區,85,11,35,22,40,15,37,20,-7,21,13,18
安定區,-26,-11,0,2,-12,-9,37,4,21,-6,-15,-3
山上區,-8,-7,5,-11,-10,-10,-3,-19,-8,-12,2,11
玉井區,-12,-9,0,-16,-12,4,-8,-6,-16,-2,-20,-8
楠西區,-10,-16,-12,-15,-14,-12,-13,-5,-12,-8,-2,-4
南化區,1,-20,-13,6,-1,-5,-2,-11,-15,2,-6,-9
左鎮區,-4,-4,11,-3,-3,-8,2,-17,-9,5,-6,-4
仁德區,37,-6,-6,26,30,24,25,45,-39,-26,28,9
歸仁區,-22,7,-16,-13,-76,-78,-40,-15,-43,-26,25,20
關廟區,-14,-19,-4,-10,5,24,-11,2,4,22,6,-9
龍崎區,-4,3,2,-8,-6,-4,-8,-1,-8,5,-4,-13
永康區,-102,-14,39,89,83,34,99,151,155,-23,-9,-43
東區,119,57,-48,-58,-76,-76,-29,35,-84,46,-43,73
南區,64,82,52,86,-26,38,-71,-10,-14,-25,89,-79
北區,-66,-31,-55,-5,-69,-43,-21,-22,-83,-74,-4,-34
安南區,158,33,53,12,-18,27,46,91,55,37,5,62
安平區,-68,93,-6,48,43,24,-13,13,60,3,48,-32
中西區,62,-36,90,18,39,92,36,-7,97,112,93,30
總計,197,51,124,146,-104,-6,-118,193,34,7,191,-11
