"區域別","總計"
"新營區","78,248"
"鹽水區","26,304"
"白河區","29,710"
"柳營區","21,825"
"後壁區","24,545"
"東山區","21,894"
"麻豆區","45,057"
"下營區","25,054"
"六甲區","22,801"
"官田區","21,670"
"大內區","10,241"
"佳里區","59,530"
"學甲區","26,913"
"西港區","24,885"
"七股區","23,613"
"將軍區","20,548"
"北門區","11,666"
"新化區","43,773"
"善化區","46,181"
"新市區","35,524"
"安定區","30,275"
"山上區","7,499"
"玉井區","14,537"
"楠西區","10,114"
"南化區","8,991"
"左鎮區","5,175"
"仁德區","73,179"
"歸仁區","67,509"
"關廟區","34,874"
"龍崎區","4,283"
"永康區","228,818"
"東區","190,243"
"南區","125,726"
"北區","132,597"
"安南區","187,922"
"安平區","64,992"
"中西區","77,925"
"總計","1,884,641"
