區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
鹽埕區,77,2,24,30,2,23,-16,24,34,36,11,38
鼓山區,292,129,134,95,84,211,119,61,104,106,76,77
左營區,754,245,365,191,215,105,245,26,-8,110,79,218
楠梓區,244,163,214,80,178,134,273,154,118,75,58,179
三民區,598,149,417,192,73,302,290,181,72,47,82,133
新興區,159,106,67,123,84,77,101,-19,-54,17,68,106
前金區,104,103,65,55,47,16,64,56,34,31,27,42
苓雅區,533,203,208,203,79,164,220,188,35,120,61,77
前鎮區,204,115,166,84,21,61,57,-66,-21,-83,-23,-56
旗津區,-51,-28,-15,-21,-25,-23,-14,-42,-5,-15,-32,-22
小港區,96,-5,86,22,59,72,100,65,-9,11,-38,47
鳳山區,455,345,159,104,151,-67,132,-100,-166,97,-9,91
林園區,58,-50,17,53,-39,18,59,38,0,0,-2,-38
大寮區,105,55,41,88,125,38,127,103,29,16,19,81
大樹區,37,24,-11,-2,-19,1,21,-29,20,-3,-5,-16
大社區,7,23,-3,2,21,2,29,-6,8,6,55,-2
仁武區,218,190,217,185,182,220,229,217,194,144,91,71
鳥松區,74,54,65,45,31,48,28,39,28,14,-31,-26
岡山區,188,69,81,26,50,10,84,-36,-58,26,37,18
橋頭區,97,143,145,62,100,70,115,204,145,112,89,33
燕巢區,2,12,-15,-14,18,24,-1,3,-21,29,2,8
田寮區,-1,2,7,0,-9,5,1,-9,-2,10,-4,-3
阿蓮區,19,0,-28,24,-18,-13,-22,0,-56,-4,-10,-11
路竹區,83,-6,35,4,-24,-34,-33,-60,-40,17,-23,1
湖內區,54,22,29,17,27,41,14,-29,1,-32,-24,-2
茄萣區,6,-35,-4,14,2,2,-23,-3,-40,-14,9,-21
永安區,2,-13,5,8,-1,37,40,23,4,8,8,3
彌陀區,9,11,15,-8,-9,-13,-9,-21,-2,3,-1,-18
梓官區,29,-32,26,43,-12,11,39,38,0,21,-1,-8
旗山區,31,20,54,-25,-5,6,-13,-13,-15,7,-1,-16
美濃區,57,4,38,40,-12,14,9,12,-2,20,15,-38
六龜區,7,-20,-18,20,-2,-14,-6,-8,-19,2,-1,-4
甲仙區,-4,-1,-1,-4,1,3,0,-9,-7,2,-13,-13
杉林區,7,11,-18,-2,7,-4,15,3,-6,-1,-4,13
內門區,-22,-36,11,2,-18,-23,-9,-1,-13,-4,-6,-17
茂林區,-5,-7,-7,-8,-4,-6,-2,2,-10,2,2,-1
桃源區,1,5,2,6,-7,-1,-2,-3,3,6,0,-10
那瑪夏區,-5,-5,-16,-8,-1,8,-12,-5,9,6,-2,0
總計,"4,519","1,967","2,557","1,726","1,352","1,525","2,249",978,284,945,559,914
