區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
桃園區,514,454,582,503,444,298,301,124,257,385,355,454
中壢區,309,296,312,350,464,301,474,419,324,383,419,517
平鎮區,316,214,136,213,182,180,225,225,197,242,159,134
八德區,355,277,421,330,382,375,450,427,425,376,425,283
楊梅區,142,29,148,143,220,247,229,95,135,193,195,203
大溪區,25,58,98,81,59,-3,84,9,-40,28,46,93
蘆竹區,129,73,232,31,315,206,228,277,168,171,186,216
大園區,62,17,45,97,67,139,128,81,156,172,123,144
龜山區,42,67,147,221,572,614,"1,088","1,392","1,042",365,447,292
龍潭區,150,127,136,84,97,78,29,103,49,98,147,133
新屋區,65,89,88,12,26,7,-9,15,4,10,23,19
觀音區,44,118,38,2,25,33,73,96,16,88,34,29
復興區,6,42,14,-12,43,26,3,24,10,23,4,18
總計,"2,159","1,861","2,397","2,055","2,896","2,501","3,303","3,287","2,743","2,534","2,563","2,535"
