區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
竹北市,300,190,366,349,423,328,375,353,563,237,256,366
關西鎮,-54,-7,-47,-33,-37,-19,-21,-18,-32,-29,-32,-39
新埔鎮,-29,18,-18,-22,-23,-19,-35,-46,-61,-21,-55,-18
竹東鎮,166,111,38,64,119,-29,8,-32,-11,-41,-39,42
湖口鄉,-24,39,10,9,19,28,61,9,-36,-61,37,-29
橫山鄉,-9,-23,0,-5,-11,-3,-31,-21,-5,-13,-15,-7
新豐鄉,33,-7,45,8,36,-20,27,21,8,28,-21,8
芎林鄉,-25,11,-4,-15,-32,-10,23,8,-14,-13,3,-12
寶山鄉,8,-21,-14,5,15,-1,39,9,-13,27,9,-1
北埔鄉,-1,1,-17,-10,-11,-7,-15,12,-14,0,-28,0
峨眉鄉,-2,3,0,7,-7,-3,-6,-3,-6,3,4,-1
尖石鄉,-10,-47,-31,-22,-19,0,6,18,25,18,2,12
五峰鄉,-4,-10,-7,-13,-16,-1,-2,2,4,17,-6,-7
總計,349,258,321,322,456,244,429,312,408,152,115,314
