區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
苗栗市,-63,-4,-50,-29,-39,-52,-30,-83,-68,-79,-40,-39
苑裡鎮,-60,-91,-110,-51,-48,-31,-41,-51,-86,-71,-28,-89
通霄鎮,-43,-59,-46,-6,-69,-52,-50,-56,-72,-29,-38,-41
竹南鎮,34,6,67,24,20,43,-13,29,30,-39,17,-3
頭份鎮,-33,28,-101,-72,-46,-31,-12,-36,8,-32,-9,-15
後龍鎮,-35,-42,-52,-24,-78,-20,-28,-33,-51,-27,-43,-39
卓蘭鎮,-39,-35,-44,-45,-28,-42,-30,-23,-25,-22,-33,-28
大湖鄉,-10,-30,-19,18,8,-22,-13,-16,-17,0,-30,-19
公館鄉,-16,5,-15,-17,-7,-29,-41,-19,-52,-25,-35,-24
銅鑼鄉,-12,-13,-14,-8,-19,-19,14,-4,-18,-16,-29,-26
南庄鄉,-14,-28,5,-4,-8,-25,-6,-17,-14,-5,3,-3
頭屋鄉,-13,-26,-16,-15,-2,20,-10,-14,-14,11,-15,-7
三義鄉,-18,-6,-13,-5,-7,2,-15,-36,-4,-20,-14,-18
西湖鄉,-9,-6,-18,5,-19,-8,0,-6,-19,-5,0,-13
造橋鄉,-24,-29,-22,-3,-13,-24,-11,-18,1,-17,-9,-10
三灣鄉,2,-6,-12,-6,-8,-8,-4,14,-14,-15,-10,-12
獅潭鄉,-5,-1,-12,-5,-8,-9,-10,-11,-11,-10,3,-7
泰安鄉,-8,-15,-10,-10,-15,-8,-9,4,-4,-2,-12,-3
總計,-366,-352,-482,-253,-386,-315,-309,-376,-430,-403,-322,-396
