區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
彰化市,-125,-36,-111,-98,-98,-83,-120,-150,-145,-54,-45,18
鹿港鎮,-27,5,41,-30,-18,12,10,-38,-32,-40,-26,14
和美鎮,-82,-21,-32,-71,-39,25,-81,-35,-75,-52,-49,-33
北斗鎮,-27,-10,23,-12,-11,-27,23,-8,6,1,-17,0
員林鎮,3,-23,-87,-12,-43,-75,-4,-25,-17,-104,23,14
溪湖鎮,-51,10,-9,6,-27,-53,-46,-69,-4,0,-61,8
田中鎮,6,0,-38,-10,-5,-24,-82,-51,-20,-1,-6,-4
二林鎮,-24,-27,20,-68,-50,-32,-29,-59,-47,-41,9,-25
線西鄉,-18,-26,-5,25,4,-25,-21,-28,-21,-4,-28,3
芬園鄉,-7,-44,-41,-18,-35,-21,2,-9,-7,-10,-20,8
伸港鄉,6,-2,13,-5,3,19,36,-6,40,14,35,18
福興鄉,-25,-13,-79,-30,-44,-16,-69,-29,-32,0,-32,-28
秀水鄉,-29,-29,-12,-17,-49,-8,-7,-57,-39,-32,-15,-19
花壇鄉,-15,-35,-48,-34,-78,-20,18,-32,-80,-21,4,-48
大村鄉,-16,-16,19,14,-38,28,11,7,12,23,11,-23
埔鹽鄉,-40,-28,-28,-37,-9,-20,-13,-39,-50,-5,-12,-28
埔心鄉,-3,-5,25,-20,1,-8,16,28,-4,-29,-20,-21
永靖鄉,-13,-30,-22,-28,-23,-39,-26,-52,-25,-11,-33,-21
社頭鄉,-33,-42,-35,-56,-16,11,-39,-49,-56,-18,-6,-12
二水鄉,-16,-19,-34,-32,-23,2,-18,-22,-30,6,-38,-4
田尾鄉,-43,-21,-42,-22,-47,-26,-41,-2,-19,-14,-20,1
埤頭鄉,-19,-21,-26,-28,7,1,-27,8,6,-7,-4,-15
芳苑鄉,-37,-27,-4,-43,-3,-50,-18,-23,-31,-4,-12,-33
大城鄉,-34,-2,-16,-46,-14,-16,-32,-25,-31,-6,-10,-10
竹塘鄉,-21,-6,-34,-16,0,-11,-30,3,-23,-2,2,-3
溪州鄉,-43,-23,-31,-33,-19,-21,-35,-3,-24,0,1,-7
總計,-733,-491,-593,-721,-674,-477,-622,-765,-748,-411,-369,-250
