區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
南投市,-35,25,47,-13,-38,-20,-19,83,-78,-11,8,-5
埔里鎮,-39,32,14,19,45,-6,-28,21,-94,-67,-24,-38
草屯鎮,44,57,17,57,38,33,91,97,34,60,11,-11
竹山鎮,-59,-38,-11,-17,-11,-78,-4,-38,-65,-2,-17,-24
集集鎮,-17,-25,-24,10,-11,-4,-17,-9,-6,-1,-4,1
名間鄉,-17,-34,-14,-4,-2,3,-10,-5,-26,-1,-24,-18
鹿谷鄉,-19,5,-38,-31,-10,3,17,5,-10,7,-4,-11
中寮鄉,-12,-3,-4,-5,2,10,-2,-29,7,-15,1,-18
魚池鄉,27,-5,-31,-3,-9,-3,-6,-5,-5,-2,-2,6
國姓鄉,-38,-41,-9,-32,-17,-12,-7,-16,-18,-8,-10,-13
水里鄉,-25,-23,0,-31,-17,13,-32,5,-20,-12,0,4
信義鄉,-41,-19,-26,-22,-28,-26,-15,-35,-14,15,-2,0
仁愛鄉,-28,25,-34,-21,-67,-16,-25,-6,30,5,24,18
總計,-259,-44,-113,-93,-125,-103,-57,68,-265,-32,-43,-109
