區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
斗六市,58,-18,12,-4,-56,11,-7,-94,-43,-75,-67,-58
斗南鎮,-48,-26,-39,-8,-3,-40,-19,-48,-75,-37,-12,-13
虎尾鎮,-12,46,-8,-20,-3,-13,16,22,-43,-53,-11,31
西螺鎮,0,-34,-38,-4,9,8,-24,-43,-64,-39,-23,-16
土庫鎮,-4,-17,-39,-3,-9,9,-11,-16,-73,-12,1,-29
北港鎮,-22,-20,-55,-4,-21,-9,-48,-57,-75,-51,-41,-17
古坑鄉,-3,0,-27,-31,-18,-6,-6,-45,-28,-4,-10,0
大埤鄉,5,13,-4,-11,13,19,7,11,-22,0,-12,-19
莿桐鄉,-10,-33,17,-53,-8,-9,-5,-18,-34,15,-30,-54
林內鄉,-12,-16,10,89,24,-12,-29,-22,-78,-77,-26,-20
二崙鄉,-13,-12,-20,-12,-19,-17,-14,-33,-15,-9,0,-17
崙背鄉,-11,20,28,5,14,2,-1,3,-13,-26,-22,-19
麥寮鄉,-43,-15,-12,-4,10,8,46,36,137,218,128,95
東勢鄉,-32,-13,-8,-5,-21,-2,-6,6,-21,-12,-18,-8
褒忠鄉,-7,-13,-13,-3,3,-12,-7,-11,6,-14,-10,-13
臺西鄉,-17,-26,-24,-29,3,0,0,-39,-29,-22,-13,-51
元長鄉,-33,-7,-17,-11,-20,-21,-16,-30,-39,-21,-13,-31
四湖鄉,-25,-20,-43,-27,9,-18,-5,-35,-17,-18,-44,-23
口湖鄉,-21,-10,-15,-33,-11,-8,-11,-46,-64,-4,-10,-22
水林鄉,-9,-11,-1,-27,-32,0,-1,-26,-39,-18,-10,14
總計,-259,-212,-296,-195,-136,-110,-141,-485,-629,-259,-243,-270
