區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
太保市,6,56,37,28,12,4,15,-19,-27,-17,16,-14
朴子市,-4,-17,-6,11,-20,-26,-14,-30,-72,-11,-14,-1
布袋鎮,-13,-31,-12,-11,-41,-2,-23,-31,-13,-5,-9,-15
大林鎮,-7,12,11,-10,0,2,-13,-31,-20,-10,-29,22
民雄鄉,-43,10,-4,-11,-68,-25,35,-85,-77,-8,-27,-56
溪口鄉,-16,-16,-11,3,-12,-22,-4,-20,-22,-17,-8,-4
新港鄉,-16,-17,-5,0,-11,8,-29,-45,-55,-29,-34,3
六腳鄉,-23,-12,-20,-16,-15,-29,-11,-15,-9,12,-2,-20
東石鄉,-9,-24,-7,-8,7,-8,12,14,-12,-4,7,-27
義竹鄉,18,-20,-20,-14,-6,5,-1,-34,-69,-10,-6,-16
鹿草鄉,-7,4,-12,8,-19,-20,0,-25,-17,-11,3,-11
水上鄉,-1,-41,-17,-9,-1,-19,46,-59,-42,-71,-19,1
中埔鄉,-16,-30,-46,-15,-14,-2,-5,-34,-62,-53,-28,-65
竹崎鄉,-56,-3,-48,-23,-15,-37,-12,-53,-65,-62,-38,-49
梅山鄉,-18,1,-22,-14,-28,-7,-21,-23,-13,-20,-5,-37
番路鄉,-5,-8,-7,-18,18,-14,-3,-12,-10,-4,-16,4
大埔鄉,-2,-1,6,-4,4,-4,-8,-3,1,2,-5,-11
阿里山鄉,-13,-4,-14,-11,-7,3,3,-10,-9,-6,4,-1
總計,-225,-141,-197,-114,-216,-193,-33,-515,-593,-324,-210,-297
