區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
屏東市,269,125,106,40,-18,49,138,41,41,84,30,-1
潮州鎮,92,17,83,57,92,91,49,-25,9,0,55,21
東港鎮,80,55,19,36,23,-1,34,-24,11,33,22,28
恆春鎮,-1,-21,-2,7,30,-24,30,-25,24,-14,-11,-11
萬丹鄉,42,4,31,-2,4,34,23,-5,-34,-28,4,-12
長治鄉,23,-23,28,47,9,47,36,70,24,7,-29,36
麟洛鄉,4,11,21,1,22,29,-2,5,-7,-21,-8,-24
九如鄉,45,-24,19,-6,10,-3,13,-16,-7,25,19,24
里港鄉,15,27,14,-2,23,16,-16,-5,-10,3,-8,-9
鹽埔鄉,-9,-18,-35,11,20,0,-16,11,-24,-27,-17,-4
高樹鄉,-2,-12,-32,-13,-4,0,-26,-3,-11,-35,-5,-14
萬巒鄉,-19,-8,12,-9,-40,5,-11,17,-6,-2,7,-19
內埔鄉,127,42,77,68,52,73,69,73,-38,32,5,21
竹田鄉,8,-21,-14,-10,8,12,-14,-40,9,-2,4,-10
新埤鄉,-16,-40,-4,-13,3,-4,-25,-29,-19,-1,-11,-16
枋寮鄉,5,-27,1,9,-11,23,13,-18,9,17,-11,-11
新園鄉,22,-36,-3,-12,-20,-4,-32,5,-23,-29,-13,-29
崁頂鄉,31,31,23,15,23,-28,-25,16,45,28,26,-2
林邊鄉,-3,-23,-13,-5,-12,0,-12,-29,-34,9,-12,-5
南州鄉,16,-10,-22,-8,-6,-4,4,4,1,-8,-8,-13
佳冬鄉,4,8,-12,19,-5,16,7,-25,-9,-18,-16,-12
琉球鄉,14,11,18,16,23,4,-7,-9,-3,4,-1,20
車城鄉,2,-15,-30,-17,-3,10,-2,0,-9,-2,6,-7
滿州鄉,-6,-25,-17,-23,-10,-12,-4,-7,-6,-8,-14,-11
枋山鄉,-6,-15,-1,-8,0,6,-6,-12,-6,-3,5,-7
三地門鄉,-6,-4,-20,-1,6,-2,3,-14,0,-9,0,-2
霧臺鄉,3,-7,-14,-9,-10,1,-1,-4,-2,-1,0,-1
瑪家鄉,-15,-10,-17,-13,1,-1,9,18,4,-9,5,9
泰武鄉,-12,-12,8,-6,-8,-5,-5,-6,-4,0,6,1
來義鄉,-4,17,-4,17,2,-14,-11,15,-3,-4,-2,-4
春日鄉,6,0,-7,-10,1,0,3,16,-4,1,3,-8
獅子鄉,-2,-13,-26,6,-14,-12,-9,4,4,-3,-13,-7
牡丹鄉,-7,-8,-2,-2,-6,-11,-7,-6,-6,-3,-16,6
總計,700,-24,185,180,185,291,200,-7,-84,16,2,-73
