區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
宜蘭市,16,-23,-4,39,9,25,-40,-58,-51,-14,-5,5
羅東鎮,132,32,30,12,-28,9,4,32,-29,-10,-15,-25
蘇澳鎮,-37,-9,12,-12,-2,-24,-9,-57,-25,-14,-64,-21
頭城鎮,-25,-18,-44,-15,7,-25,-11,9,-2,-16,-4,-16
礁溪鄉,-17,-20,-58,-9,-11,-9,-9,5,20,25,-16,-31
壯圍鄉,-21,6,31,22,26,20,31,30,8,4,8,-1
員山鄉,-28,-6,-9,24,-9,-53,-23,23,26,13,11,8
冬山鄉,-95,-6,-81,-85,-20,-9,9,-71,-14,-25,-19,45
五結鄉,-43,-3,7,-1,20,25,-19,19,-8,9,0,-27
三星鄉,-25,-7,-21,28,43,16,13,-8,-12,-4,23,-24
大同鄉,12,29,12,23,21,14,5,-1,7,6,3,-10
南澳鄉,7,8,29,37,13,6,20,-10,-4,-1,-4,-22
總計,-124,-17,-96,63,69,-5,-29,-87,-84,-27,-82,-119
