區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
花蓮市,-153,-83,-133,-190,-365,-12,-111,-35,-34,-7,53,94
鳳林鎮,4,-8,-37,-14,8,-1,2,7,-3,6,0,-9
玉里鎮,-15,-12,-57,-42,-10,-7,-2,-11,-31,-4,-15,5
新城鄉,11,22,-6,-21,1,15,17,8,15,31,5,-56
吉安鄉,11,-38,-161,-178,-7,-54,37,52,10,40,65,131
壽豐鄉,-24,-6,-45,-14,25,2,29,-16,8,9,4,-26
光復鄉,-27,-10,3,-23,13,8,9,2,-6,6,-1,3
豐濱鄉,2,-1,20,17,-6,2,10,4,-3,-4,-2,-3
瑞穗鄉,-24,11,0,-6,5,10,-10,10,-10,2,-5,-16
富里鄉,-7,-7,10,-11,11,-21,9,13,0,14,2,1
秀林鄉,55,31,68,25,13,51,30,33,15,8,18,63
萬榮鄉,1,4,-6,7,3,4,16,17,12,-1,-3,9
卓溪鄉,2,9,16,4,-1,16,26,-4,2,19,3,-1
總計,-164,-88,-328,-446,-310,13,62,80,-25,119,124,195
