區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
臺東市,34,55,-1,-18,27,-12,30,-34,-55,14,9,-22
成功鎮,-8,-12,1,-12,-9,8,5,4,-3,-12,-15,16
關山鎮,-10,1,8,5,-10,-7,-19,4,-7,-4,3,3
卑南鄉,6,-17,1,-13,-11,6,20,-11,0,6,5,-11
大武鄉,3,-2,-12,-1,1,-10,-4,-3,-18,7,4,-3
太麻里鄉,2,-15,3,-3,-17,4,0,2,-13,-3,-9,13
東河鄉,5,7,1,3,8,7,-7,-6,-4,-4,25,4
長濱鄉,1,-8,-7,-6,1,-8,-4,-14,2,-2,5,9
鹿野鄉,-22,5,-7,0,-15,-1,-12,1,-1,-22,-1,-7
池上鄉,-20,-8,-20,0,-17,-10,-10,7,-3,-6,2,-4
綠島鄉,-8,-6,0,21,2,2,14,7,10,-10,-6,-7
延平鄉,-3,2,2,-7,12,-6,2,-2,1,2,-11,3
海端鄉,-6,8,3,-12,7,6,8,6,1,-4,3,2
達仁鄉,-14,1,-14,-2,2,-5,-2,0,-2,-3,3,14
金峰鄉,-12,-2,2,-1,-7,-6,3,5,-16,1,6,-9
蘭嶼鄉,-25,-20,-9,5,-2,6,-3,11,-7,-3,8,3
總計,-77,-11,-49,-41,-28,-26,21,-23,-115,-43,31,4
